QID,ResampleThreshold,CorrectModel,ResamplerA,LogFile,ParamConfiguration,PHGPrefactor,NameNonAlph,ConfigLatex,FinalParams,Time,LatexName,NumExperiments,NameAlphabetical,NumParticles,NumBayesTimes
32,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_32.qmd.7052667.log,config_p1500_e200_b100_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPzTzPPxTxPPyTyPPxTy,$P_{1500}E_{200}B_{100}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.26747795  0.06227019]
 [ 0.24340838  0.05208536]
 [ 0.23329782  0.05909409]
 [ 0.20532947  0.06128538]
 [ 0.22682172  0.06911834]
 [ 0.24859737  0.06525612]
 [ 0.07230121  0.06413336]]",2829.0642971992493,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",200,xTiPPxTxPPxTyPPyTiPPyTyPPzTiPPzTz,1500,100
46,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_46.qmd.7052681.log,config_p1100_e300_b150_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPyTyPPzTz,$P_{1100}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.15592592  0.05065595]
 [ 0.21587059  0.03494066]
 [ 0.32558294  0.03545008]
 [ 0.27850787  0.02815175]
 [ 0.29713119  0.01396351]]",3965.564283847809,"$R_{x,y,z}HF_{y,z}$",300,xTiPPyTiPPyTyPPzTiPPzTz,1100,150
34,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_34.qmd.7052669.log,config_p300_e250_b125_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTi,$P_{300}E_{250}B_{125}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.22770974  0.0027625 ]
 [ 0.13073081  0.00486397]]",1141.7215802669525,"$R_{x,z}$",250,xTiPPzTi,300,125
53,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_53.qmd.7052688.log,config_p900_e350_b175_ra0.95_rt0.5_rp1.0,1.0,zTiPPyTiPPxTiPPxTxPPzTzPPyTyPPxTyPPyTzPPxTz,$P_{900}E_{350}B_{175}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.0960954   0.0480387 ]
 [ 0.20641189  0.04746493]
 [ 0.23659783  0.05197524]
 [ 0.24457287  0.05245277]
 [ 0.19864688  0.03247621]
 [ 0.23401181  0.04563535]
 [ 0.24995766  0.0779539 ]
 [ 0.18848579  0.05259989]
 [ 0.19489206  0.06110288]]",3792.9201357364655,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",350,xTiPPxTxPPxTyPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,900,175
44,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_44.qmd.7052679.log,config_p700_e300_b150_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPxTxPPzTzPPyTyPPyTz,$P_{700}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.21698278  0.06994143]
 [ 0.21256603  0.05542853]
 [ 0.23096942  0.07419777]
 [ 0.15080091  0.0659438 ]
 [ 0.23727343  0.05414515]
 [ 0.28940463  0.06475687]
 [ 0.15522366  0.06097053]]",2162.776429414749,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",300,xTiPPxTxPPyTiPPyTyPPyTzPPzTiPPzTz,700,150
25,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_25.qmd.7052660.log,config_p100_e200_b100_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPxTxPPyTyPPzTzPPxTz,$P_{100}E_{200}B_{100}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.09766534  0.04632861]
 [ 0.02394391  0.05001209]
 [ 0.16283644  0.0257004 ]
 [ 0.30423076  0.05792887]
 [ 0.29492167  0.04377985]
 [ 0.31660181  0.0209528 ]
 [ 0.27355491  0.03275781]]",453.49604749679565,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",200,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,100,100
10,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_10.qmd.7052645.log,config_p300_e100_b50_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPzTzPPyTyPPxTxPPxTz,$P_{300}E_{100}B_{50}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.29388179  0.08495007]
 [ 0.21253886  0.07036172]
 [ 0.25874527  0.07874143]
 [ 0.19387586  0.08586195]
 [ 0.27040384  0.11101111]
 [ 0.26913873  0.09391766]
 [ 0.23260235  0.12375411]]",434.7560124397278,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",100,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,300,50
43,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_43.qmd.7052678.log,config_p500_e300_b150_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPxTxPPzTzPPyTyPPyTzPPxTy,$P_{500}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.24603682  0.05273485]
 [ 0.21282273  0.08386897]
 [ 0.26364205  0.0981236 ]
 [ 0.18226758  0.07392353]
 [ 0.23102603  0.04476071]
 [ 0.23573522  0.05070712]
 [ 0.16005631  0.06640236]
 [ 0.06825392  0.05259552]]",1572.9687235355377,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",300,xTiPPxTxPPxTyPPyTiPPyTyPPyTzPPzTiPPzTz,500,150
45,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_45.qmd.7052680.log,config_p900_e300_b150_ra0.95_rt0.5_rp1.0,1.0,xTiPPyTiPPzTiPPzTzPPyTyPPxTxPPyTz,$P_{900}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.28110421  0.04385961]
 [ 0.19382775  0.04167474]
 [ 0.22046285  0.04085569]
 [ 0.18373825  0.04813977]
 [ 0.27502048  0.04438617]
 [ 0.22483583  0.05145412]
 [ 0.10812022  0.0495962 ]]",2510.0438640117645,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",300,xTiPPxTxPPyTiPPyTyPPyTzPPzTiPPzTz,900,150
29,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_29.qmd.7052664.log,config_p900_e200_b100_ra0.95_rt0.5_rp1.0,1.0,zTiPPxTiPPyTiPPzTz,$P_{900}E_{200}B_{100}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.32762692  0.0463346 ]
 [ 0.11564407  0.09886163]
 [ 0.22001718  0.04128812]
 [ 0.45711254  0.0549152 ]]",1956.7618894577026,"$R_{x,y,z}HF_{z}$",200,xTiPPyTiPPzTiPPzTz,900,100
42,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_42.qmd.7052677.log,config_p300_e300_b150_ra0.95_rt0.5_rp1.0,1.0,xTiPPzTiPPyTiPPyTyPPxTxPPzTzPPxTy,$P_{300}E_{300}B_{150}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.29968607  0.03440411]
 [ 0.2806061   0.03202591]
 [ 0.1988951   0.04520406]
 [ 0.14763605  0.05096507]
 [ 0.22929976  0.03062543]
 [ 0.18333017  0.03131687]
 [ 0.09251702  0.03253153]]",1070.7463183403015,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",300,xTiPPxTxPPxTyPPyTiPPyTyPPzTiPPzTz,300,150
28,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_28.qmd.7052663.log,config_p700_e200_b100_ra0.95_rt0.5_rp1.0,1.0,yTiPPxTiPPzTiPPzTzPPxTxPPyTyPPyTzPPxTz,$P_{700}E_{200}B_{100}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.22658766  0.07385076]
 [ 0.19401002  0.05658482]
 [ 0.33613563  0.05944217]
 [ 0.21761275  0.07096642]
 [ 0.24172596  0.07154836]
 [ 0.2297613   0.0695455 ]
 [ 0.15940619  0.11501981]
 [ 0.09057698  0.06969317]]",1595.7327437400818,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",200,xTiPPxTxPPxTzPPyTiPPyTyPPyTzPPzTiPPzTz,700,100
18,0.5,0,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_18.qmd.7052653.log,config_p300_e150_b75_ra0.95_rt0.5_rp1.0,1.0,zTiPPyTiPPxTiPPxTxPPyTyPPzTzPPxTz,$P_{300}E_{150}B_{75}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.27716494  0.06258439]
 [ 0.22129943  0.04879534]
 [ 0.31078692  0.04415082]
 [ 0.17026982  0.05733207]
 [ 0.14248346  0.09075901]
 [ 0.26640394  0.07993742]
 [ 0.18284476  0.0684496 ]]",644.9461030960083,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",150,xTiPPxTxPPxTzPPyTiPPyTyPPzTiPPzTz,300,75
6,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_6.qmd.7052641.log,config_p1100_e50_b25_ra0.95_rt0.5_rp1.0,1.0,yTiPPzTiPPxTiPPzTzPPyTyPPxTx,$P_{1100}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.23050359  0.07825127]
 [ 0.19824677  0.07099985]
 [ 0.26946993  0.09312342]
 [ 0.1860062   0.07352308]
 [ 0.21512138  0.07751914]
 [ 0.27874927  0.09890754]]",659.6490907669067,"$R_{x,y,z}HF_{x,y,z}$",50,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,1100,25
1,0.5,1,0.95,/panfs/panasas01/phys/bf16951/QMD/ParallelDevelopment/logs/timing_tests_1.qmd.7052636.log,config_p100_e50_b25_ra0.95_rt0.5_rp1.0,1.0,yTiPPxTiPPzTiPPzTzPPyTyPPxTx,$P_{100}E_{50}B_{25}RT_{0.95}RA_{0.5}RP_{1.0}$,"[[ 0.29425174  0.08882132]
 [ 0.17943249  0.07694209]
 [ 0.31855239  0.08526091]
 [ 0.25076032  0.06629262]
 [ 0.26768294  0.08043133]
 [ 0.28827475  0.07971134]]",152.11603593826294,"$R_{x,y,z}HF_{x,y,z}$",50,xTiPPxTxPPyTiPPyTyPPzTiPPzTz,100,25
