,ChampLatex,ExpVal,InstanceID,RunIdx,t
0,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",1.0,0.0,0.0,0.0
1,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.9495094787976095,0.0,0.0,0.05
2,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8250318355284423,0.0,0.0,0.1
3,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6865550131770786,0.0,0.0,0.15
4,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5854494177497306,0.0,0.0,0.2
5,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5402863985370583,0.0,0.0,0.25
6,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5418297003017752,0.0,0.0,0.3
7,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5683598854511289,0.0,0.0,0.35
8,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5950095009090898,0.0,0.0,0.4
9,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6020700154007695,0.0,0.0,0.45
10,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5888442092819172,0.0,0.0,0.5
11,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5799249607416487,0.0,0.0,0.55
12,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6067100768059857,0.0,0.0,0.6
13,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6744701536483385,0.0,0.0,0.65
14,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7495541929685872,0.0,0.0,0.7
15,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7845485199067357,0.0,0.0,0.75
16,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7576848122488479,0.0,0.0,0.8
17,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6881891245725122,0.0,0.0,0.85
18,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6184480503278842,0.0,0.0,0.9
19,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5870780810850527,0.0,0.0,0.95
20,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6146264549642723,0.0,0.0,1.0
21,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6990005283530301,0.0,0.0,1.05
22,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8113113615151409,0.0,0.0,1.1
23,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8998822239585423,0.0,0.0,1.15
24,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.9153875534208642,0.0,0.0,1.2
25,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8457384612819631,0.0,0.0,1.25
26,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7274682489305253,0.0,0.0,1.3
27,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6178031079118856,0.0,0.0,1.35
28,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5527735701536413,0.0,0.0,1.4
29,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5305183742391195,0.0,0.0,1.45
30,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5283675390505228,0.0,0.0,1.5
31,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5277003541306103,0.0,0.0,1.55
32,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5231854620462759,0.0,0.0,1.6
33,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5202417282179578,0.0,0.0,1.65
34,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5339803957082475,0.0,0.0,1.7
35,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5861593320438423,0.0,0.0,1.75
36,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6882827463913282,0.0,0.0,1.8
37,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8191007353374424,0.0,0.0,1.85
38,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.9245083728752624,0.0,0.0,1.9
39,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.9512574614521131,0.0,0.0,1.95
40,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.8871691990104066,0.0,0.0,2.0
41,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7694328604647055,0.0,0.0,2.05
42,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6556435173044388,0.0,0.0,2.1
43,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5884654779397611,0.0,0.0,2.15
44,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5815770291036477,0.0,0.0,2.2
45,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6240182223766136,0.0,0.0,2.25
46,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6867652759454519,0.0,0.0,2.3
47,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.7307745004096778,0.0,0.0,2.35
48,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.726259124608586,0.0,0.0,2.4
49,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.676003939072658,0.0,0.0,2.45
50,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6170201852306763,0.0,0.0,2.5
51,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.5902378151805443,0.0,0.0,2.55
52,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6047500662167427,0.0,0.0,2.6
53,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.6330763974559882,0.0,0.0,2.65
