ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
$S_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000008e+160,,4.4640346212420596e-44,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,2.2401259955321827e+43,,9.99999999999999e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000008e+160,,2.527361729835567e+38,,,,1.9157879232276143e-44,,,8.041268363579495e-80,,,,,5.7614719313706044e-61,5.4672173287225434e-58,,,
"$S_{y,z}$",,,,3.956695190067079e-39,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.3015910729595195e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,2.997181634050231e+33,2.6240726555732237e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.3364677957426738e-34,,2.2230797967057838e-49,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,5.219784444174045e+43,,4344820466800568.0,381087009.110101,4.498264081576493e+48,,,,2.193343386981637e-21,,,,,1.873337394690044e-19,2.013589707998114e-12,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,374409.8960077802,8.766792252363055e-30,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.67086957546448e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.2435849107203026e+79,,,,,4.559249618347024e+20,1.1406680701603871e+29,,,,,,,0.08657690520675305,3.7508605635496095e+18,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,249.34802352066586,2540030.253957797,,1.3313947979874839e-12,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.004010458899495229,,55.10379796739562,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.9369609808459203e-07,0.018147569439618125,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.7111656496181215e-07,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.7356675723005885e+60,,,,,5.338066718971659e+18,,,11.550424418751335,751092013812.5707,,,5843969.5784167275,,307680056254516.06,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.829084047466717e+57,,,,,496625502220.2054,,,2.666054850766445e-19,,,,,3.2501294109644534e-15,,,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,1.7818251443382684e-93,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,5.612222967991499e+92,,9.999999999999992e-161,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.8719186475117567e-91,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000006e+160,,5.342112496871847e+90,,1.4126443034852687e-06,,,,,1.7163405827214851e-74,3.157032314561543e-76,,,,,9.870606579159046e-16,,,
"$S_{x,y,z}$",,,,,,,3.4038607892348804e-21,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.0012045718962736007,588685101336.1427,,,,,,,,,,,,,
