ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
$S_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000008e+160,,5.058358269469402e-95,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,1.9769260039085655e+94,,8.263080714937541e-79,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.2102023863717738e+78,,8300890564.321299,,,,9.65507615633287e-62,,,2.8769574213063905e-81,1.3238881462744185e-59,,,,7.592699230846237e-48,,,,
"$S_{y,z}$",,,,1.2046900175966392e-10,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.048122377770157e-77,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.843607230272159e-56,4.739984729093856e-34,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.064576982522611e+55,,5.1025042572206204e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.0357246113942754e+61,,4.8825207460929403e+76,2.1097114382289788e+33,19598.21980716404,,,,0.07518827523783066,10.907352577397187,,,,3.521132970070191e-06,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,57974310327888.24,7.416621044476305e-15,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.7249019338811435e-14,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.4758943340423596e+80,,,,,13.299945993399437,134832290068908.44,,,9.18973877987795e+18,,,,1.2752796331464449,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,7.553508223592162e+58,,,,,0.09168127580951717,,,1.0881702123999668e-19,,9802.25207883878,1832459.7527351137,,2.4254770139615078e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.00010201737233005997,,2.4274537532670966e-21,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.457145776366486e-07,4.119542951762131e+20,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,4.3786470612608726e-07,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.3170546726484066e+47,,,,,283999.49916690186,,,0.7841417474320838,41229003.37722475,,,2283810.4693280314,,3388972406.2741523,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.9507469525235923e-10,,,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,2.631643268035212e-49,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,3.7999071232272324e+48,,1.5604802333846136e-93,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.512111336051691e-43,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.40828367195042e+92,,3.980715287769488e+42,,,,6.61215052497857e-46,,,1.0465678777379273e-23,,3.3463283685012584e-16,,,1.3575258474284742e-44,,,,
"$S_{x,y,z}$",,,,,,,,,5.583278660560908e-76,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.5123672642090084e+45,,1.7910623144493699e+75,1.0000000000000006e+160,1.5355679895257469e+41,,,,66.02936659913082,,29.27457719185677,,,8971.101174710546,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.391452311841128e+132,,6.512248280903834e-42,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.186735696869339e-133,9.999999999999992e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,9096154.58528448,3.462132234615988e-13,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.0993656611968462e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,9.55504197359296e+22,,,,,0.015144776506354724,2888393429926.0464,,,,1.9149923555239967e-22,,,82.03816229047158,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.2880305975495149e-15,1.2857557540369326e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,2988349886439496.5,,,,,0.03415933195025503,,,5.221952960362451e+21,776379071974303.6,,7460957853271282.0,,5.376369154126648e-10,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7777526928114.185,1.3403104797885256e-16,,,,,,,
