ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$"
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,5.410292480482341e-111,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,1.8483289094027818e+110,,1.1769091829220406e-87,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,8.496832334311391e+86,,2.2225027471919874e+23,,5.682036692302285e-51,,,9.814568799110015e-53,,,,2.9025132567543764e-34,,7.880450759518737e-29,,,,,
"$S_{y,z}$",,,,4.499432008637316e-24,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,4.162123339449825e-59,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.7599323167953945e+50,,2.402619813117277e+58,,3.4538066132539994e+71,15.210253753885064,86.07557608913821,,,,8.361970056167719e+20,,3.946866366331175,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.895356086708779e-72,,2.7483319868822325e-58,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.06574512274291124,3.638570612185834e+57,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.0188934638582185e+52,,,0.01161769744026365,,,,6.935146399869319e+32,3.621869298837079e+60,,0.008477377711305833,,276009288.65356874,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.4419306274757853e-33,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.761005208887806e-61,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.2851212135106996,1.6832590874809468e+26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,3.445290035016796e+33,,,1.1958904340519714e-21,,,117.96100563814122,,,3.5072802464853203,,6.651446716064612e+32,0.0007080415178278731,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.9408560894599614e-27,1.5034323248576793e-33,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.268962944527136e+28,,,0.2533655581882682,,,3.6230664731546172e-09,,,,1412.3465571168704,,,21355.790549956288,4.3023457918873487e+18,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,4.682570741929509e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.324313405690529e-19,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,2.2712217181707374e+90,,,,,,,,,,,,,,,,2.998724380605558e-80,,
$S_{z}$,1.0000000000000003e+160,4.40291668576245e-91,,,,,,,,,,,,,,,,,,,
