ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
$S_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000008e+160,,4.052370864142652e+45,,9.99999999999999e-161,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,2.4676912195981034e-46,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.1526308669406932e-145,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.0000000000000008e+160,,8.675804445999217e+144,,,,,1.628390407590561e-72,,5.0012670033370795e-46,,8.961580133175526e-44,,,,,36322316713490.016,,,
"$S_{x,y,z}$",,,,,,,,,9.99999999999999e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.523216621861466e-148,9.99999999999999e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.173265967962222e+147,,3.130024078840208e-45,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,6.141033472922774e+71,1.0000000000000008e+160,1.0000000000000008e+160,3.194863601083024e+44,,,237.0038824870088,,3.9104556211045536e-10,,,,,2.499442431814984e+36,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.727096898565131e-29,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.9994933270564303e+45,,,,0.0042193401623064715,2.6830533984372207e+28,,1478360271559686.8,1.060128803549087e-21,,,,,2.614015740541229e+35,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.764251037028943e-16,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1.1158746394489377e+43,,,,2557246768.389455,,9.432816056428352e+20,,,2.764689192029116e+54,2.3806553010318205e+39,8.690085105573228e+22,,3.280237127608239e+34,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.6170431124160466e-55,,139808090.17248133,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.200524114375489e-40,7.152661900797725e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.1507367164432811e-23,,,,1820726815348851.2,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,5.492312144633296e-16,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,2.7531283532600286e-14,,,,4.000892308105071e-37,,3.825531669495421e-36,,3.0485600921453586e-35,,,,,,,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,1.6544165901002616e-16,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,6044426814768568.0,,,,,,,,,,,,,,,,,9.999999999999992e-161,,
"$S_{x,z}$",,,1.0000000000000006e+160,,2.4171864296365064e+101,,,,7.81587185539239e-53,1.0373182054416043e-65,,,1.929599785132565e-47,,,,,127.89356094528921,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,4.137041263095206e-102,,
"$S_{x,y,z}$",,,,,,,,,1.2390283952146717e-124,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,8.070840053885462e+123,1.0000000000000006e+160,1.0182700269857394e+49,,716711301.8036696,,,190276232682926.03,,,,,1.590142505876793e+48,1.2794477935434312e+52,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.908121374220785e-157,9.999999999999992e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.438646023733945e+156,,9.820577778962795e-50,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,2.1541943613150347e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,1.3952619380821935e-09,,464210.6663901707,1.5219056631640474e+41,1.3075253723977435e-16,,,,,2.7574340673610274e+36,9.640243415705624e+64,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,6.570709500620403e-42,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,5.2555171284391965e-15,7648035144176189.0,,,,7.757292354501575e+44,33590969153039.445,,5.090656169172295e+29,1.6200449445398396e+21,5.182421804277403e+46,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.976990617460396e-14,1.0665751064555144e+40,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2891095943028339e-45,,9.375804797500297e-41,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.2210826324857233e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.964383306921696e-30,,,81894539.59920211,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,6.288744538959464e-49,3.6265599668790616e-37,,,6.172668254485013e-22,,,,,,0.007819001931049398,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,2.0736111827867313e+87,9.999999999999992e-161,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,4.8225048567499426e-88,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,0.0007744981184304515,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.0000000000000006e+160,,,1291.1587209876461,,,,9.999999999999992e-161,9.999999999999992e-161,,,9.999999999999992e-161,,,,,9.999999999999992e-161,,,
"$S_{x,y,z}$",,,,,,,,,7.714021679006305e-139,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.0000000000000006e+160,,0.007154950633836599,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.0000000000000006e+160,,1.2963406658831386e+138,1.0000000000000006e+160,139.76336821541202,,2005011949099.356,,,4.1487029403394935,,,,,60672373.7000953,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,
