ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,1.9031723389189823e-23,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,5.254384900150494e+22,,1.8416484343719758e-16,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,5429918008976626.0,,114045706.78139758,,1.0388894373700618e-05,,,,1.67973933718798e-05,,0.0003316354087856537,,,,347.40107057601176,,,,
"$S_{y,z}$",,,,8.768414245674294e-09,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,6.238390121745674e-19,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,96256.63367330887,,1.6029776600764623e+18,,3.180807976801142e+23,354362.12330284854,,292.60940398081243,,42.756722251401726,,,,9006.501163543579,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.1438552949231308e-24,,2.2086618723156665e-29,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.8219720287243284e-06,4.527628300802569e+28,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.070848344956396e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,59533.04645910604,,,0.0034175251594633447,,,482893.88377257326,,23443.26374075937,0.0004557424601485612,,,,0.3492019728271448,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4.26561766765163e-05,,3.103104644392738e-13,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3015.3595590461546,,,0.02338813518305221,,,,2194.2217095023884,3222579044528.79,,4606.037293614585,83.7816253473233,,4.7617557417504734,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.00021710636198849588,,0.033200780086675104,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.011935791360628558,30.119774215827626,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,9.936281173374408e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,0.002878517323915957,,,0.00011103090776780105,,,,2.863672252204029,,0.2100065719944696,,,10064.127439143263,,1316213682888.501,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,7.597550557333873e-13,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,8.575672629899357e-45,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.166089289035437e+44,,2.8287053790575113e-31,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,0.02095285306939632,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.535186122257764e+30,,47.726197319667044,,,,2.6382925906144327e-08,6.930700959820496e-06,,,,,0.0002249558250741108,,,1.7004022830749457,,,
"$S_{x,y,z}$",,,,,,,,,2.839451867036453e-18,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.3985009550206694e+27,2.6355427527758412e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,7.150513529575818e-28,,6.532766929420665e-38,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,37903301.68675908,,3.521806485290782e+17,37942.848733786115,1.5307449520301217e+37,,186.95366216640616,,,,,20016.005727856522,,,12710869058028.904,,,
"$S_{x,y,z}HF_{y,z}$",,,,144285.55001829134,,,,,0.005348919023099461,,,815012789.0395027,,,3.863476947046064,,,216.1899419079006,,13485.918243880578,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,7.415142090556301e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.226974611255494e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,4445.3172069252005,,,,,4.996001767766721e-05,0.2588342091091238,,,1133255919.1215172,14145.7154553767,,,,26001.319651090816,13836362462635.734,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.9230587905533856,,7.069278349013489e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.083354614282463,8.824132158737672e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.512160120038791,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,7.227333070382046e-14,1.9525143814872976,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,0.5880961287535068,,,,,7.867282680945749e-14,0.004625562092181013,,,,,3.845958641403217e-05,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.313978855149911e-13,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1073655003465.1165,,2.674395732385822e-21,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.739162412990775e+20,,1.302300269805225e+17,,25.77723672490081,,,,1.5109352686346985e-08,,,,,,0.0005809854474688196,52.63741036621686,,,
"$S_{y,z}$",,,,7.678720669769671e-18,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,5.117173988876441e-13,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.8366384960745604e-46,,9.990657780559101e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.07423038067986812,1.0009350955308544e+26,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,0.038793917698478515,,1954203633047.7915,,3.5252994041497895e+45,13.471573105797205,,1.018430442767029e-09,,,,,,1.8827090685400665,10.506068137263332,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.7481683027472493e-11,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,66184172.19843005,,,981903091.2735146,,,57202730333.715485,,170735.41890051198,,,,,0.06524350182919962,8538.420116863084,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.857015529874927e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4246.014217298864,,15171628.59984927,,9.859271474669386e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4523.433700394313,6.591250197160343e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.0002355149909592526,0.00022107099744002638,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,3.2422926440253725e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1721.213507768055,,,0.5311495104102532,,,,15.327196915608411,,,101427.37245538046,,,,0.40964965845260404,30842.373276906914,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,0.018997895091013232,,,0.09518308723442988,,,,0.00011711768527587849,,,,,,2.4411102984373634,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.716750491662655e+36,,2.846543027906375e-28,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.6808680188661665e-37,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.513033142996252e+27,,,,,,,6.488276580285967e-27,,,2.4930206011732724e-30,,2.82640093846858e-23,,,1.1417648411576088e-26,9.436638002239861e-28,,,280705858.40931165
"$S_{x,y}$",,,,,3.562447914933961e-09,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.6126427079490983e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,3827851188326920.0,0.02080176739034103,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.612431755574805e-16,,2.204368712670926e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1.541241325991571e+26,3.8275421164840075e+27,48.072838294708276,4.536446168247184e+25,,,,5.986676210072736e-05,,22459.29434575566,,,0.0003548327572058197,39.78476066140095,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.013884683630853923,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,8.91458717856169e-06,,,,,,,,72.02180666024286,
"$S_{x,y,z}HF_{x,y,z}$",,,,,4.01119830108655e+29,,,,16703.759563904165,112175.69360977896,,,,180.61882874182731,,,0.09390881454168239,4.280900190206934,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,3.5380684544416646e+22,,,,4.452499640483937e-05,,,0.005536521341467553,112.28916825395666,,21799.165744583865,,0.00553931098904989,1.4140970233113764e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.008905578476976239,23554960.24692188,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.245390310648808e-08,4.5873315140440917e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.06922514793442464,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,8.758370935525771e+25,,,,2818.2290943898197,,,10.64862765950623,,180.52786745080752,,,,7.684516908744614,14.445617378055683,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.0596994393158262e+27,,,,0.02513525237743096,,,0.23359572883470128,,70716.5055519536,,,0.13013179772719968,,,,
