ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y}$"
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,1.3462141882563285e-40,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,7.428238453609231e+39,,,3638.908617008933,,,,1.3822598726009419e-22,1.108073031495989e-26,,,,,2.0570223110945894e-08,,,1.0669622578080932e-13,,,
"$S_{y,z}$",,,,,0.0013293065533776256,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,0.0002748076704443236,752.2719251320226,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.266468101134989e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.295969058327566e-64,2.0817531516415867e-61,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.0340090647192487e+63,,0.0007190632185346478,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,7.234529626605891e+21,,,789597463294824.0,4.803643502167585e+60,1390.6983061070252,,0.3194063021587088,,,,,710723.1771717956,,,33212.60616295035,,,
"$S_{x,y,z}HF_{x,z}$",,,9.024675915538874e+25,,,,,,3.1308086072237646,,106229.50243208325,8754.406758209685,,,20.589033897787672,,,4.089987739521226,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,9.413580757749852e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,0.0001142281856006088,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.000538014445241559,0.015720136341288563,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1858.6861539582223,,0.0886653982350345,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,48613959.82953034,,,,,,1.407017573254517e-06,0.04856954459176697,,,63.61267983239585,11.278356832607882,,,3472.422300461424,6.0556671230033725,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,9.125829468065467e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,0.0002879834056667352,10957.908029065815,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,9372402750724.693,,,,,,3.010904941014625e-05,0.2444995104354665,,,,,0.1651345722424781,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,17.39049987582327,,,,,,,,,,,,,,,,3.07811785070568e-12,,
$S_{z}$,1.0000000000000003e+160,0.057502659908599076,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,324873851003.0547,,21906136.807781667,,,,,4.2803589180752655e-36,,,2.8345958433853106e-16,1.8661132731565745e-29,,,,,1.910016475495472e-09,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,4.564930862865663e-08,,
"$S_{x,y,z}$",,,,,,,,,4.944344411713103e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.064732174424204e+16,,2.450310871495844e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,2022512828254.8645,722934971941.9105,4081114.8154010717,,,,211598600.27188239,73.12440706739172,,,,,18512281.17713231,2.3362526814682782e+35,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.843243169196373e-17,1.383250276734921e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2221.513524239561,,0.06356967821136432,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.0004501435571238788,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,4.7259291824950775e-09,,15.730770205805928,,2.402539474583095e-07,,,,,1495016903.7678618,3527839788284302.5,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.3660619295315259,,0.20711857439856612,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.017368513753878354,4.828152196894045,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,0.013675324561310924,,,4162262.5167210912,,2.7317782028843243,57.57545027574407,,466.6266921831839,27390911346.183586,5.358731511021709e+28,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.15743481944915244,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,0.0021430407148835574,,,,,,,6.351835022893237,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,5.4018194215593016e-08,,,6.688887580332499e-10,3.65084603196064e-11,,,,,,523555693.27777284,,
