ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$"
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,6.741413573244629e-18,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.4833684198946154e+17,,,8.264716509565558e-31,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,6.124418278751219e-12,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.2099628569747102e+30,163280813701.03644,,3.857755749796374e-05,,,8.955158385120386e-20,,,403.64465112096946,,0.0029643501297195976,,,0.044395530753586585,5.459920782969326e-06,,
"$S_{x,y,z}$",,,,,25921.80700016541,,,,4.806413520885211e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,5.983906283365134e+18,1.1408397645646921e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.6711491668576663e-19,,5.127727472868024e-32,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1.116674833648469e+19,20805534.01522196,876547286.5346414,1.950181645360889e+31,,3782322082.531314,,73459.05401423901,,22322.595271467642,,,11.72916682853352,362.6319234431717,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,2.643878490989724e-10,,8759500.758241093,1.7205477523815837e-05,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.1416175734207025e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,0.002477426610814439,,,,1.3613025833495814e-05,58121.0256219741,,,,0.00037274425475669447,,,0.15599627483988432,1.9164216023931734e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.709498889734204e-05,1746.9046164737513,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,337.3420669759384,,,,4.479765850873903e-05,,,2682.8045965530473,12971.011661102611,,89.379553496741,,11.321862822145624,59.75980279017266,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0005724410998572834,0.011188241167891522,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.10861564613586776,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,22.524789838653135,,,,0.0852575476688849,,,6.410409485908603,,0.08832468788121994,,9.206776699087127,,0.006467282158331247,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,183152.8404439889,,,,0.002757617119047465,,,521805.84833276155,,0.016733656292527918,,,154.62445823734248,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,1.428511910944712e-72,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,7.00029164852167e+71,,,4.959236726003338e-13,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2016439333812.368,693.9929730866281,,18415197.367396027,,,1.6033799222829937e-12,,,5.959975811167442e-06,,8.340567492430611e-06,,,,0.2300604594500795,,
"$S_{y,z}$",,,,,0.0014409367800258322,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,5.430297487717904e-08,,,,2.1916119932416146e-23,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,7.23901654648819e+18,6.036759885564496e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.3814031140530026e-19,,3.885116409011861e-21,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,623682501010.8252,4.562851467703912e+22,165651.7766080554,2.573925449647826e+20,,31705314565.396294,,22336.819031446026,,37827781.807545744,,,,29924397191.58898,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,3.1540453507798234e-11,,181.47935845489098,0.00019643336638687056,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.0055102685424610574,,,,,,,,,,
