ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,7.462251826170947e-38,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,1.3400780666405397e+37,,2.1358580745012116e+42,,,,6.181168512181436e-52,,,,9.732998036696928e-101,,8.557998293830492e-75,,,,1.5542951967997807e-69,,,
"$S_{y,z}$",,,4.681959030604272e-43,,1.8824437147506496e+25,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,5.312243825215571e-26,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.4961831981035982e-73,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,4.038598568676469e-33,4.656686774122568e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,1.617817081073371e+51,,,6.683673505139564e+72,2.476106458700896e+32,,238696514562.3976,,,6.4363425263969625e-18,,6.10036174471922e-09,,,,2.0327368520954e-13,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.14744956769918e+19,4.189420200932974e-12,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.2493169229180472e-35,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,4.445794142262071e+34,,1.8570224946006945e-19,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.0274326535663912e+100,,,,,1.5536774121308237e+17,,,5.384964387386296e+18,,,1.809369607931269e+41,,,,1085215873979296.0,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.2856192233658916e-13,1.3086674429947363e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,1.1684975454142185e+74,,,,,163924705.09894767,,,,5.526786763835076e-42,7778352888827.308,,635.6132995190384,1.0579521048186243e+37,,4.3824855263039e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,764136072424.6443,0.0015732836313473758,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,9.452223739102446e-38,,,55.89195637805362,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.017891662142509247,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,6.433784277651708e+68,,,,,4919475922174.446,,,,9.214756473596127e-16,,2.281810160006118e-20,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,0.00010065873368618582,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,9934.5577217135,,,4.7754806030133913e+33,,1.3001895254747544e-37,,,,,5.371329219555031e-120,,7.538874360944364e-92,,,,2.113661364014323e-109,,,
"$S_{x,z}$",,,,,4.0290328338347003e-75,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.09403007389243e-34,2.4819852337818574e+74,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,4.9866115108539195e-36,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,7.691186403265764e+36,,,2.0053697742913952e+35,,2.8911783255250763,1.6665923199310846,,,7.625635094850595e-67,,1.492372157361039e-70,,,,1.144948989803873e-39,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.34587973739682304,,2107528.942016361,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.6000267660187892,4.74489332062628e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,4.200473930077686e-24,,,,,,,,,,
