ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
$S_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000008e+160,,8.194495539297508e-53,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,1.220331373913625e+52,,,9.065309214185038e-90,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,2.660768176667724e-40,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.1031063324737329e+89,3.7583131396752265e+39,,,,6.196880710380812e-09,,,,2.2359581047319934e-14,,2.250269685442071e-19,,,,1.5090544509564092e-08,,,
"$S_{x,y,z}$",,,,,,,,3.566237166521301e-21,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.00010024380548315914,2.5902693543272738e-18,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,161371510.399552,2.80407598627394e+20,9975.678748229477,,839.8389410589647,,,2.0312225327410023e-16,,1.1656797632294316e-10,,,,8.79998319720903e-08,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.8606023668133645e+17,0.0011907044923864644,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.0006162650385675005,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1622.6784539400226,,4.9613533290596564e-14,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,44723557113332.51,,,4923143495511371.0,,,20155790843252.32,,,192.38027708271267,,,,395.51774944079887,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.7613678336385365e-12,3.555154951648772e-18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,4.443911796303417e+18,,,8578685429.260367,,,,0.005198038048204164,567740582575.6765,,314320.43119247275,,3.989104744665021e+18,372558363.07844174,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.812816919656992e+17,3.1814667478222387e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,3.0511677750036797e-05,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,2.506828133147889e-19,,32774.33670453582,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,66266661.17754862,,,11363658.061496712,,,,0.0025283315386322,,2.6841432084278595e-09,,,,,,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,2.3929066554922806e-69,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,4.179018006008576e+68,,5.794823252966806e+16,,,,1.3128936899480078e-30,,,,9.837982637436126e-93,,,7.372257911245491e-100,,,5.293670934971444e-128,,,
"$S_{x,z}$",,,1.7256781723032272e-17,,5.003495102986003e+31,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.998602935382542e-32,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.0225598116404955e-18,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.039637564181985e-11,5.095317528985569e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,7.616762938662621e+29,,,9.779379050656188e+17,32898659096.191162,,121.33408610408274,,,4.524698707338943e-06,,,0.0028984263619700524,,,1.280077221124261,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1962586226101.3804,0.008241707108933762,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.688361679593543e-11,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,27112308576.80421,,3.406714004278899e-08,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.0164685554482837e+92,,,,,221009.19081706504,,,29353799.54830316,,,,5.031740762947169e-06,,,53339950.81647211,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.203862796580298e-11,2.4007990893021475e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,31212322858.12515,,9.517904006273369e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,1.3564365382206996e+99,,,,,345.0148029016348,,,,198738.378448234,41652798.20606209,1050651.487282166,,,3.595788359608951e+24,3558694.587779225,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.868696334225393e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,2.781031306605464e-25,53513242.45062625,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.8890482847993534e+127,,,,,0.7812028708094063,,,,1.8747673829710136e-08,,,2.810019166674379e-07,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,2.7970057669264444e+25,1.7363477314246814e-116,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,3.575251834746389e-26,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,5.759215057570843e+115,,,2.136500259748715e+55,,,7.397511446875275e-37,,,6.857351848403276e-29,2.152350822432844e-25,,,,,1.4440544207390494e-54,1.7935662818120074e-31,,,
"$S_{x,y}$",,,,4.680551736125766e-56,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,3.3501173430068624e-19,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.015070462258935371,10419781.914598696,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.351805951476293e+36,,2.984970070040772e+18,66.35496528363579,,149.07913979568536,,0.08031123137589079,0.05799222020544888,,,,,1.7026117156143959e-10,1.0876456556710827e-07,,,
"$S_{x,y,z}HF_{x}$",,,,,,,9.597129845865048e-08,0.0067078465932290145,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.011347793891304992,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.4582888877618966e+28,,,,12.451558553741679,,88.12285538303873,,0.020309393091335625,,,,,7.845677501609535e-17,100.37292206364604,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,4.646082736966088e+24,,,,17.243692282470008,,,49.238300499812524,,28.080962948825054,,,,0.00029158839291019517,0.0018617311855221954,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,0.035611314391974624,,11940991522390.215,325670.73379181523,,7.715672800475474e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,8.374513943209224e-14,,48774894.14344236,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.0705860129244814e-06,2.0502351005808323e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,3.751884555547201e-09,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,6.924946772353718e+53,,,,5873329725.322283,,,1.2745871848477722e+16,3429.491791561075,12960632.544427952,,,266532721.14182967,,184.77416491871742,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5.57548394024066e+30,,,,9194170.866089607,,,0.009962846347801892,537.1344734280267,,,,,0.005412012011743646,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.5025365973610905e-90,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.537861394591501e+89,,,1.1777921137481271e-25,,,,,,,,,,,,,
"$S_{y,z}$",,,,,1.5214904221078493e-42,,,,,,,,,,,,,
"$S_{x,z}$",,,8.490462691396928e+24,6.572502760908712e+41,,,,1.5362707506551467e-14,,2.007985423725582e-27,,,,5.905010940473945e-29,,6.215900750084959e-15,,
"$S_{x,y,z}$",,,,,,,,8.015536466458121e-27,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,8.009095449052046e-22,5.877917997108769e-09,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,65092692780458.62,1.2475771324659406e+26,1.248580450016187e+21,,5426042.304210012,2.9041313056258764e-16,,,,1.4626651107745946e-15,,3.427951070897923e-08,,
"$S_{x,y,z}HF_{z}$",,,,,,,170128266.58893168,1.842963884052489e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,4.9801158324377524e+26,,,3443370477301774.5,,,9653774994333584.0,6817478.682453002,,44.33025873039245,,77528325550.48232,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.0358642091689145e-16,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.4668179345742954e-07,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,7.319557854073584e-10,4.383758244829122e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1.693476964023607e+28,,,683683498453328.4,,0.022557955415550248,,,1366202740.5705466,,361420.4326627485,755998562578683.1,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,22811.476914347495,2.766860724039717e-06,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,160877729585101.88,,,29171944.96997468,,1.2898511516914592e-11,,,,1.3227538377705865e-15,,,1042193068243262.9,134959829701.9175
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,9.59515113342306e-16,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,7.409612195041114e-12,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.8193012237020258e-97,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.496615881811691e+96,,,9.45659326094475e-32,,,,,,,,,,,,,
"$S_{y,z}$",,,,,6.966972953659305e-37,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0574632665337836e+31,1.4353435942000664e+36,,,,0.001908214061674933,,9.126662397604744e-18,,,,,,,1.3267839848219371e-21,2.1510039404594018e-10
"$S_{x,y,z}$",,,,,,,,1.1844912367312067e-32,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.8017100819721202e-13,3.829064823089538,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,524.0502206142695,8.44244321097436e+31,5550282534387.65,,5.16861674446625e+17,2.0726834463303627e-06,,,,,,,1.985180012694136e-06,0.0023271486603007427
"$S_{x,y,z}HF_{x}$",,,,,,,0.2611603736687683,1.9347536283680624e-18,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.0956907973964787e+17,,,482466.34177084616,,,986138902.9776208,44976075890724.164,,,,,0.00018171184704840376,0.010998571361347909
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.0140559275985623e-09,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.223404288158984e-14,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,9.163498440022849e-10,1.2366584956286133e-10,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1091286266.42458,,0.1724485981385475,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,8086306797.99506,5.798829394928376,,,6.349369293105138e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,4.160876186057223e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,7.537021937555316e+20,,,503732.6557821201,,5503.218509102621,,,,,15749595.807664122,24033399.58422515,,124680703.99160269
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4648991948.319837,,,429.7104078734565,,90.92089937373893,,,,,,,8.020487276582513e-09,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.245416486662031e-91,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8.029442445235352e+90,,1.6760192615668545e-22,,,,,,,,,,,,,,
"$S_{x,z}$",,,5.966518541470301e+21,,3.5990021386251336e+18,9771.573437152281,,,,6.40141072227895e-17,,,1.2876467795321282e-21,,,,6.8037310122480074e-09,
"$S_{y,z}$",,,,2.77854794602043e-19,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,0.000102337664085696,,,0.041261784566950586,,,1.2202812004870902e-26,,,3.058722899948545e-23,,,,1.600855833694471e-26,
"$S_{x,y,z}HF_{y}$",,,,,,24.235500487804135,,2820354055.471443,2.6570398083369808e+17,2.3269346079558587e-21,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.5456541282822825e-10,,1.5518701337303801e-09,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.763586818918952e-18,644383816.8315047,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.5621556612821002e+16,,8.19483246649082e+25,4.297499364962686e+20,,,,26173.685865195814,,0.00097475200699398,,,,489939014.3348861,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,3.820631168076101e-05,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,1.2172139706380762e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,7.766104927962885e+20,,3.2693383242294432e+22,,,,1025.9019656536864,,8215482.4387678495,,7951973487318120.0,223467243.35902667,,2.6676620749392304,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2575494644125878e-16,,73713682.03319508,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.474928785841696e-09,1.3566002571268594e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.1490174942279665e-05,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,146978179.79573417,,6.24665868688619e+25,,,,2.0410703592518435e-09,,,0.37486007294337687,,,87030.8768163628,,394388.1419411891
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.5355731921298972e-06,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.06974017290888e+25,,5.1423175766649184e-39,,,,,,,,,,,,,
$S_{z}$,1e+160,1.6475169801556055e-26,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.5210862577127185e-92,,,,,,,,,,,,,
"$S_{y,z}$",,1.9446484684995985e+38,,6.574249125777494e+91,,,,,6.2767684571974494e-09,,,1.2742793795832214e-32,,,,,1.1653228934881646e-21,1.1978310808306688e-19
"$S_{x,y,z}$",,,,,,,,,1.5489102570258586e-21,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.907466521204961,1.0260644584109356e-11,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.5242555970881693,,7.82439413220016e-18,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,159317649.9689612,6.456151965318835e+20,97459764033.60648,1.2780542277192363e+17,,,,2.7382696359233076e-22,,,,,4.7259984981073594e-14,6.616168995789389e-12
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.912322126649637e-15,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,343368609828339.8,,5.237465821957126e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,7.847572643976002e+31,,,,3.651941309508088e+21,,190932033.54333717,,,,,,7428.81377431944,6.479081257931805e+21
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,792377164.7424854,1101407958265.2356,,6.037620607490561e-13,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.262025263341593e-09,,9664.984757361983,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.079287946811666e-13,0.00010346627802369611,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.17643353658977412,
