ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,3.118241491086978e+21,,,1.0578867272587508e-146,,,,,,,,,,,,,,,
$R_{z}$,1e+160,3.206935713152265e-22,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,1.6335916605603184e-37,,,,,,,,,,,,,,,
"$R_{y,z}$",,9.452807887960276e+145,,6.121480809084212e+36,,,2.1968018486464197e-23,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.552071915890637e+22,,,1.501896447887454e-121,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.1303255406665108e-51,3.5789170358611983e-26,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,6.658248652272836e+120,8.847008795451416e+50,,23287057.37113312,5.250465038362194e-65,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,2.7941413281723894e+25,4.294230842749632e-08,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,1.90459319830446e+64,,,,7.025587820245302e+66,1.9640673406592266e-51,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.4233684434466075e-67,,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.0914751205239045e+50,,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.752214321921261e+206,,,1e-160,,,,,,,,,,,,,,,
$R_{z}$,1e+160,5.707064412665707e-207,,,,,,,,,,,,,,,,,,,
"$R_{x,y}$",,,,,,5.48757376551626e-81,,,,,,,,,,,,,,,
"$R_{y,z}$",,1e+160,,1.8222989662279682e+80,,,1.191252781276449e-24,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,8.394523947541024e+23,,,2.089279583831585e-103,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.8864750114665823e-140,3.0607367403674973e-82,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,4.786338830565096e+102,5.300891842837508e+139,,303816495.8539687,,,7.4903410157223795e-62,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,3.2671872324436886e+81,3.291460515299526e-09,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,1.6651666467848176e-41,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,1.3350527004057352e+61,,6.005404936081606e+40,,,9.451011281303537e-43,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,1.0580878281017926e+42,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.4998637091248487e-26,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,6.6672724589322e+25,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.9238523626176112e-29,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,5.19790405662621e+28,,1.830199525027499e-39,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,5.4638851465387355e+38,,,,7.793625230440169e-105,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,5.576777576156303e-36,3.8651332125502645e-157,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.7931502311936073e+35,,8.652614241571561e-08,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.2830999315879626e+104,2.5872329490558157e+156,11557200.772865746,,,,3.015529439459344e-06,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,5.244298650352959e-10,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,331616.7260430694,,1906832670.4328644,,2.8468650906601466e-07,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,3512635.717374702,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,3.2984674992020693e-35,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,3.0317109392222587e+34,,,,5.069709978188528e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.869146995057758e-27,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1.9724994216677316e+159,,5.3500340136121786e+26,,104308446720421.8,,,,,,,1e-160,,,,,,,
"$R_{x,y,z}$",,,,,,9.586951310667127e-15,,2.0460713924959672e-113,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,4.887414992788288e+112,,9.231397326867685e+21,6.607729448900762e+21,4.452200926372382e-29,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0832596242927733e-22,,2497606.0997029366,,,,,,,,,,,
