ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,1.8710071327001484e-20,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",5.344715060261944e+19,,,,,,,,,133544729235.28966,,,,,,,,,,1.7261507711268114e-11
"$(\sigma_{x,x})^{\otimes2}$",,,,1.0120225924491852e-82,,,8.876411966253217e-42,4.488808372068848e-62,1.0855509983356134e-68,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,9.881202331460906e+81,,,,,,75669015758050.6,,,,,6.147298192626387e-08,1.34903284446429e-06,1.0362959044784809e-34,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,8759440102406.412,,,,,,,,,,3.522215165367991e-27,,,,1.973328189861678e-33
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.1416254786938699e-13,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.1265813301611614e+41,,,,,2.1466381915731313e-20,4.002929957105621e-23,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,2.2277627314687745e+61,,,,4.658446886511253e+19,,3.379509968496297e-07,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,9.211911752955119e+67,1.3215448753786755e-14,,,2.4981701171785308e+22,2959008.8779792744,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,7.488127803517584e-12,,,,,,,,,92279.63386622479,272741.4591287407,8610.143327028803,,,,,,,5.780025103146708e-25
