ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,2.319884301610375e-16,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000006e+160,4310559795183916.0,,,4.824178842113712e-137,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,6.992746310532244e-76,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.0728916417241495e+136,1.430053308946491e+75,,,,2.6009356716077586e-05,,2.1550256760033837e-22,,,,,,,1670472201093.692,2115272.2987504387,,,
"$S_{x,y,z}$",,,,,,,,4.332238669462582e-13,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,0.00015605316589788226,2.5933717886633792e+57,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,38447.70214489212,2308275412084.0044,6408.072494052302,,2.633733794968629e+48,9.884572803220288e-32,,,,,,,151953.43544002328,13260100.01756213,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.855983952518426e-58,3.7968909458896576e-49,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,4.640315942103094e+21,,,1.0116775099012985e+31,,,1.2512827835592256e+24,2.882476323498434e+39,,,,,557556083707871.1,8.690760687921459e+36,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,7.991798601716062e-25,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.4692392504591657e-40,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4.571399806936649e-45,5.063247052415703e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.1875137643454388e+44,,5.0964405620295896e+33,,5.872776276385342e-20,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,19750171967.668343,1.9621537577625807e-34,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.0501211531660447e-57,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,5.986331286119458e-13,,,6.580963418854091e-06,,1.793541545363077e-15,,,,1.7027721693077903e+19,,4.877760509205415e+56,,9149021356.2476,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4.727523735789161e-07,,,7.541421246261836e-08,,1.1506472631214135e-37,,,,,,,1.0930130787345131e-10,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.521526054863046e-54,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.05025181282706e+53,,,2.677884992374103e-115,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,3.7342903180970476e+114,3.1852048372471133e+47,,4.531484858436985e-18,,,,1.2821369892734038e-48,,,1.3482509504013365e-09,,,3.484936120585668e-21,,,,,
"$S_{y,z}$",,,,,3.1395155134332677e-48,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,2.206782172378092e+17,,,,12687.665306807783,2.886113197786839e-23,,,4089754417382.2617,,,8.523476007140224e+27,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,65842250443.821075,,0.15800376951736625,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,7.881670707875885e-05,8.102884718423548,6.328962929521055,,1.979333436181725e-42,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.5187816231360974e-11,0.12341283811261655,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.3198537780197459,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,7.799478592117578e+47,3.464867562252343e+22,,,5.0522058674917905e+41,,,,1087.1837832062668,,,1.2975020491740877e+19,,,,3.126428601816502,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,9.913549435687471e-39,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,741701683.7275939,2.4451345923114667e-13,,,,0.0009198076861033109,,1.0087204451718694e+38,,1243135658482909.2,1.6675290532329584e+30,4.387357140159663e+20,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.044174368068359e-16,,1999584893152.505,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.996897013945443e-31,5.001037982555571e-13,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,2.8694930563947987e+20,1.1732302632896334e-28,,,,7.70711692237049e-20,,,2.2792764939204566e-21,,,,,131297698804474.66,2326167.6912206723,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,4.2989162121637213e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,7.61627971476618e-15,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.149604307704365e+46,1e-160,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.9418967754549448e-47,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,,,,3.4190406141356046e-71,,,,,7.657418983312235e-52,1.4426715303748896e-47,,,,,4.038192529945687e-62,,,1.1560230740461438e+42
"$S_{x,y}$",,,,8.650346368087148e-43,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,5.0370422852116624e-67,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,5.827781543413991e-10,,16.509532183887607,,,,,,,,,,,,
