ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
$S_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000008e+160,,1.0000000000000008e+160,,1.793683080431844e-63,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,9.99999999999999e-161,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,3.5923066241247735e-14,,,,,,,,,,,,,,,,
"$S_{x,y}$",,5.575120883446377e+62,,27837267378133.09,,,,8.464134626836975e-33,,,,7.496992633353119e-27,,,,1.6217122643877415e-14,,1.9025158003092735e-23,,,
"$S_{x,y,z}$",,,,,,,,5.231773126163434e-91,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.7502613681296127e-65,6.098545346317244e-62,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.1814556881329965e+32,1.9113978681512912e+90,2.666480817838931e+64,,9.029630333981527e+19,,,7882.664462441472,,,,3.795543630615796e+32,,658013.9878333746,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.6397352863890304e+61,1.1074650489695734e-20,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,67823.4302619956,6.944745794656077e-21,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.4744167261034912e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.3338681907610973e+26,,,0.0001268606579367547,,1.4399375147316285e+20,,,,,,40.77206921182549,,144227613573925.9,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,7.739775002497869,6.3197358901255845e-21,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.1292027222596611,,2.2991876686342714e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.5823446064612803e+20,4349362227547.109,,1.470989835286833e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,61663219916360.34,,,2.6346686991917365e-33,,,,0.02452659429190709,,,679814350.8619193,,4300399135006831.0,71841085.1183539,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,2.3253655500477434e-16,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,5.256198134267476e+22,,,1.519724532441436e-06,,,,6.933485032583138e-15,,,,1.3919611575361926e-08,,,,,
$S_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
