ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
$S_{x}$,,3.500188022361065e-151,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,2.8569893777461886e+150,,2.4033472230163556e-48,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000008e+160,4.16086360898337e+47,,6.810833678036717e+24,,,,,5.514982795333007e-125,,,9.99999999999999e-161,,,,9.99999999999999e-161,,2.0669129173561256e-121,,,
"$S_{y,z}$",,,1.4682490386232106e-25,,5460343481.8722105,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.8313866212261173e-10,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.5404127358815908e-86,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2.427380609345742e+26,2.5170118910850948e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.119667085375345e-27,,1.261551301647854e-34,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,1.813242283994501e+124,,,6.491766633101037e+85,39729.64941253796,7.92674858877152e+33,,,,7.947156968254333e-69,,,,2.2826550055141358e-52,,4.1988175474846836e-22,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.1827489276517928e+21,1.4485987116143387e-21,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,8.454879785732556e-22,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.0000000000000008e+160,,,,,,1.2583116251441794e+68,6.903223038805452e+20,,,,,,5.751557019824952e+21,,7.67794130708271e+46,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.02597318630428361,6.20925716682585e+30,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,38.50124464071146,,1203567868.545178,3.2217471226655363e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.6104986041529933e-31,8.308629917220688e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,1.0000000000000008e+160,,,,,,4.3808635014241445e+51,,,1.7386596299977823e-22,,310390.5930309771,,,4.345723069664484e+18,9.3187953216672e+20,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.3011130345155794e-19,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,4.838133196628049e+120,,,,,,2.381622894281399e+21,,,1.3024324620422987e-47,,,,1.07310007944363e-21,,,,,
$S_{x}$,,9.999999999999992e-161,2.4592015539774846e-155,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000006e+160,,0.1807331740328376,,,,,,,,,,,,,,,,,,
$S_{z}$,4.0663604753445735e+154,5.533018524968242,,2.463707309875096e-60,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.189247405587957e-46,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,4.058923704093313e+59,,4.5677797650806573e+45,,,,1.072124433723822e-55,,,2.2359853423042874e-129,4.702728188304158e-117,,,,,2.020936282305216e-64,,,
"$S_{x,y,z}$",,,,,,,,,2.057816169045942e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,8.251979523801521e-06,0.00010439902352923696,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,121183.04427630475,,4.896525838411564e-05,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,9.327275533929287e+54,,4.859520568660059e+27,9578.633651874628,20422.64317601152,,,,7.220066230303137e-76,5.939103081168485e-88,,,,,3.580328624036785e-24,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.1219029503233382,,1.4080379563622122e-39,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.8913426956509873,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,4.472301231498474e+128,,,,,1.3850288461384578e+75,,7.102081271896861e+38,,0.0014593408852453958,,,,,5.455620643836824e+30,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,2.12642525776215e+116,,,,,1.683755924645875e+87,,,685.2408577806992,,1083709916.505592,1.529089714331516e+23,,,8.094389956608768e+25,3.4998932020687238e+47,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,9.227561589770136e-10,,29526313436657.71,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.539838641431039e-24,3.386809539041448e-14,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.929663729284078e-11,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,2.857230041787898e-48,,,51822500719.90568,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,4.9482015279538276e+63,,,,,2.79303970391553e+23,,,1.8329720214870369e-31,1.2354235530542204e-26,,,,,,,,
$S_{x}$,,1.3742367845156802e-69,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,7.276766356915908e+68,,3.4013061577439685e-128,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,2.9400470102440994e+127,,7.238612490301949e-54,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.7485981349094434e-74,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.3814802233712145e+53,,3.6382182877124977e+73,,,3.2459585729370577e-56,,,,3.564537999762037e-120,,5.9851456340326866e-102,,,,9.299883288573016e-37,,,
"$S_{x,y,z}$",,,,,,,,3.4128877894130316e-46,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,6.640661531466192e-12,3.2393259084825633e+25,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.087062025408991e-26,5.089393288406037e-40,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,3.080754043928431e+55,,2.9300699633373705e+45,150587406881.31564,,1.964870748499755e+39,,,8.53646593279818e-81,,3.2386963779089596e-78,,,,4.2284082330738225e-42,,,
