ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{z}\hat{T}_{xz}$"
$\hat{S}_{x}$,,9.999999999999987e-161,5.890653059788484e+123,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000011e+160,,1.0000000000000011e+160,,6.549146647473074e-47,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.697604645614466e-124,9.999999999999987e-161,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,2.003399406156739e-99,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.5269164882509393e+46,,4.9915159050504605e+98,,7.551077320717801e-14,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,13243143428770.248,,,9.546139901616671e-37,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,9.75053023418527e-06,1.6779504486458577e+23,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.0475438347919523e+36,102558.52512451161,,6.407271999629056e+38,43.36957195334951,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,5.959651554710817e-24,1.5607266244634133e-39,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,0.023057640529070715,,,481244310.89546984,1.3533095490486036e+18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.0779466424013646e-09,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.389292425395319e-19,,,3.862531823309141e+17,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,2.588975433070404e-18,,1.9415915116858143e+30,7.1590735436237475e+22,1.7335362207698963e+26,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,5.150413946400786e-31,,1753.0857483662396,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.3968287850467095e-23,0.0005704227536684582,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,5.7685555572405696e-27,,,,9.719824503782057,9.961705282007104e+33,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.10288251599716564,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.0038441930280817e-34,,,,,,
$\hat{S}_{x}$,,9.99999999999999e-161,2.4325544278632302e-145,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000008e+160,,1.2967070648470479e+43,,3.3295421358090047e-53,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,4.110904934112433e+144,7.711841996618983e-44,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,3.6280712630167346e-25,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.003415962948977e+52,,2.756285440679304e+24,,2.979556723121041e-16,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3356203935438138.0,,,1.8450599724839083e-55,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,5.4198780251774206e+54,1.468038613103981e+44,,8.061510935717885e+24,,385.0744783391857,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,6.81180992838892e-45,2.236194045899785,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.44718838324141336,1.2404622507789836e-25,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.2034674163987016e-11,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,0.002596900226452216,,83093234297.31361,,6250729722641397.0,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.5998132128122568e-16,,,,2.1214972726619684e+28,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,4.7136520649175316e-29,33141.554668264915,1.298327109526564e+34,,2.658400705745448e+23,,,,,,
