ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,4.0973178307815246e+64,1e-160,,,,,,,,,
1,$R_{y}$,2.4406210142825544e-65,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1e-160,,,,,,,
3,"$R_{x,z}$",,,,,1.0291122474187933e-107,,,,,,,
4,"$R_{y,z}$",,,1e+160,9.717113002086874e+106,,1.0913202839003626e-140,,,,,,
5,"$R_{x,y,z}$",,,,,9.16321280519056e+139,,,,1e-160,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,4.579242543453238e+37,6.808788805051266e-13,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.18376727266753e-38,,6.2700211774229296e-52,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,1468689995580.6025,1.594890944867613e+51,,3.5239879530654904e-14,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,28376941502598.145,,202.9910366609812,1.349266184652394e-41
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,0.0049263258932467895,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,7.411436018887747e+40,,
