ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,5.581517975551076e-30,1e-160,,,,,,,,,
1,$R_{y}$,1.791627303504774e+29,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,,1e-160,,,,,,,
3,"$R_{x,z}$",,,,,4.588952783185627e-120,,,,,,,
4,"$R_{y,z}$",,,1e+160,2.1791464136743747e+119,,4.468601415078059e-117,,,,,,
5,"$R_{x,y,z}$",,,,,2.2378366453221284e+116,,,5.632775988332126e-68,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,1.3426046768731584e-59,5.317239748627982e+48,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,1.7753235741514045e+67,7.448208822934662e+58,,576521257275116.5,,1.0676305780660168e-59,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.8806750255299887e-49,1.7345414195591387e-15,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.1328266197141713e-25,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,9.366535771310263e+58,,8.827476178590459e+24,,2.5209920057372603e-20
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,3.9666924675850035e+19,
