ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$"
0,$R_{x}$,,1.499385262708608e-101,1e-160,,,,,,,,,
1,$R_{y}$,6.669399952574704e+100,,1e-160,,,,,,,,,
2,$R_{z}$,1e+160,1e+160,,1e-160,,,,,,,,
3,"$R_{x,z}$",,,1e+160,,8.494774111630007e+163,2.044040409856691e-65,,,,,,
4,"$R_{y,z}$",,,,1.1771943395539172e-164,,,,,,,,
5,"$R_{x,y,z}$",,,,4.89227118592098e+64,,,4.7899103298106634e-154,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.0877217549906163e+153,,3.277860090127074e+48,55176171.61984958,,3.8296472190671556e-16,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.050770845930867e-49,,1.3144115774339686e-29,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.8123765579275002e-08,7.607967071868222e+28,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.071204893684394e-26,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,2611206575428597.5,,,1.647119505125343e+25,,5.977539037953694e-20
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.6729292667946045e+19,
