ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$"
$\hat{S}_{x}$,,0.4118320316088919,271.2342376698789,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,2.4281744090990927,,100919.51439256534,,47.46155231973582,7652.317638922588,382.5715347000601,,,2441.1143730190083,,78.19296315272076,12502.225319259976,,,28.26376335125568,,2211.429311525211,,,
$\hat{S}_{z}$,0.0036868501874645593,9.908886363742444e-06,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,0.05637715563721446,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,0.021069685906252425,,17.737680957779677,,2334.418532187057,0.4141049524084678,,,139.57765751799576,,69.57594131721328,11.078110610266654,,,32.691961508029074,,0.2918137968000752,,,
"$\hat{S}_{x,y,z}$",,0.00013067936371506862,,,0.000428372198991723,,0.010965964509061355,,,46.41146096412844,,0.06899323920951994,0.024050252576100408,,,1.5073694496955932,,0.2430208698953872,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,0.002613890238289709,,,2.4148467536645466,91.19124899352757,,6.071319888113992,22.444307062718405,13.51228584188493,,0.01840664249094217,9.836529387035457,,,4.826879014870337,,8.613626211794404,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.16470883076968654,,0.02763131230599404,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,0.04455472816360952,36.19082542753754,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,0.0004096489746866167,,,0.0071644704301694565,0.02154640210039721,0.07400672334063815,,,,2.8491354793176122,17.46144225300148,10.897093229749668,,,1.2397144272719804,,30.9289201357323,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.3509836605732441,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,0.012788874595363185,,,0.01437278434280554,14.494173798148275,54.32821333342547,,,0.05726903800447,,,2.762116795682532,,,2.5837523144096792,,0.12291802935556008,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,7.998576049173232e-05,,,0.09026810032689588,41.5796049058435,0.10166187286727367,,,0.09176759149586282,,0.3620411713085779,,1.8748237863777801,2.243977313664685,0.518273276167712,,0.18727578995771724,,,
