ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$"
$\hat{S}_{x}$,,2.2568067955939445e-06,1.2715894989633991e-05,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,443103.9475564947,,250.00850334533348,,3.82556245909197e-06,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,78641.73153483894,0.003999863951102148,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,0.21997675222804675,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,261399.4701938179,,4.545934922083559,,0.005613794679587501,0.056536565121238835,,,3.0686443400914087,,0.3719496139855532,,,0.2321521385947132,,4.562847694610452,0.017806815289498894,,,
"$\hat{S}_{x,y,z}$",,,,,178.13262811982278,,6.3052926833994904,,,0.19345012228386127,,0.36670984206316426,,,1.3859099845417209,,4.566390422293725,0.1386308963780533,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,17.68766811099273,0.1585969201132867,,70.18035018469519,2.1607083956749737,0.5117350368522193,,0.5237964469167284,,,0.07711481081060052,,2.293964067004678,1.950261989152246,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.014249002710420762,,0.07459771299970283,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.4628111789641168,13.405236699468036,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,0.3258768006885451,5.169291123696673,1.9541362775376727,,,,1.1019246292387703,1.0149884083643668,,,1.1744081352096354,,15.165283462593706,16.285267911947347,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,0.9075030845719622,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,2.68853619522466,2.7269516257699844,1.909138570691712,,,0.9852329265626588,,,,,0.8238705148759949,,2.6591415116165518,0.5507803475131225,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.04898289084187245,0.1708558773416282,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,20.415291601065768,,0.3512890668868129,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,4.30752008598026,0.7215475832874313,12.967677538055193,,,0.8514927392098633,,1.213782969463976,5.852886160892723,2.8466584766277543,,,28.984985219001004,1.0654900187801577,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,0.4137903461271555,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,0.21916138055214526,0.21899134929809488,0.4359266190711263,,,0.0659400796870414,,0.3760612196197402,,,0.03450062135427461,2.41668277029524,,0.11296770139392745,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,56.158273320761865,7.213399221432938,0.5127516228907724,,,0.06140519182164458,,1.8156058118543792,,,0.9385353052343608,,8.852087699942834,,,,
$\hat{S}_{x}$,,0.003769191986924332,1735.653959866385,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,265.30885226040243,,2067.2552583869838,0.21924026638021585,,0.00033185095155161465,,1.4187878997885668,,0.5048479410561789,,0.010841654449415476,0.00047355838149441533,,,,,27.880947655167393,,7.014747474588057,
$\hat{S}_{z}$,0.0005761517117599768,0.0004837331993438823,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.561205915822769,,,1.751448231418097,0.07390921615750129,,6.706055476464639,,8.277869352796737,,0.6440089929868205,1.541749057168725,,,,,0.2911332346755736,,5.560072840958667,
"$\hat{S}_{x,y}$",,,,0.5709560705601495,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,3013.401032374212,,13.530112372846572,,,,0.16650401318847852,,0.3105123399845269,,0.9844262756922452,0.044957066798266235,,,,,1.893910473327309,,0.8822062707847463,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.06415594704614214,0.032743403282278025,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,0.7048269865770801,,0.14911895726326282,,6.005861245326407,15.587019536642199,,1.4108650360328159,0.34781276482353496,,0.2732861013228927,4.236039829394843,,,,,77.51116698016638,,2.6579241161170306,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,30.540502811485023,0.7087850180282874,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.024087424341174054,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,1.9807944505189552,,0.12080403270222465,,3.2204839268218164,,2.8751101199731885,,,,0.09559691404004596,0.11320460681415402,,,,,1.1840233670523899,41.515439170083496,5.325979515484913,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,92.23684490828931,,1.5527733477170014,,1.0158201022182218,,3.659168889889797,,10.460588712948363,,,3.3656568710347634,,,,,5.915958546377428,,2.7296068343440254,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.3414297627017465,3.9442106867078826,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.29484351456881364,,0.25353615195304663,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,2111.672053705997,,0.6486139851036489,,22.24344405045938,,0.2360695461503389,,8.833562768710307,,0.29711882058035005,,3.391629629237137,2.9288600738464123,,,1.1811975318130281,,8.686467366361391,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,0.24955765172043146,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,0.1425568067307691,,0.1798537588632706,,1.133521754623749,,0.3762334650324416,,0.18775888962632506,,0.3663531272775108,0.11512159751759735,,,4.0070901176785245,,1.8860215280005828,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,0.03586678660883545,,3.4348534653364373,,0.5280080627270379,,0.012901366847642494,,0.8445779262697207,,0.169034314923038,0.8465984503583354,,,,,,,0.5302166413021405,
$\hat{S}_{x}$,,0.0023230900809685256,0.0952877586457964,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,430.461138030036,,13.016727932047687,,15343.78487985624,9.403987281357619,,,30.45170959614523,,,40.0827658665169,,0.30582437386125205,,,119.43744785288496,6.016743467600418,62.6873014711415,,
$\hat{S}_{z}$,10.494527463041704,0.07682422227923821,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,6.517296793653753e-05,,1.2083179584486217,,0.009253915876062651,,,2.2418014185482392e-06,,,0.4654755540717308,,0.023143634941495846,,,1.2252563512271677,0.0007647592895537983,0.10473728854662556,,
"$\hat{S}_{y,z}$",,,,,0.8275967372726262,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,0.10633787244506286,,,108.06236120934773,,,,2.701524922997488,,,0.5411474148531908,,0.8977337789453859,,,7.589927878173107,9.235559596124158,3.369610868121685,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,0.032838878777649516,,,446069.83996271476,0.37016130833634736,1.0634688873429623,1.735505753122384,,,,0.2852353319142405,,41.3739645345192,,,11.661755847812035,0.7719184572492381,0.4324704392521076,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,0.7941983489808309,0.9403189993629838,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.2591313004909517,,0.5762009133077661,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,0.9199713597242126,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,0.01595219408926633,,,9.547697996352401,0.2967701729183429,,,2.312296770455222,,1.0869903605475046,10.476160161033432,,27.54323613203331,,,2.066884264023261,0.8515019699614359,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,0.024948378146612608,,,2.148340533144084,1.8479253019647008,,,3.5058770359510087,,,,,0.09412261125580976,,,4.001611740314004,0.05186486424202864,0.09545482167402776,,
