ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$"
$\hat{S}_{x}$,,0.01934064316236701,0.01729260998058824,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,51.70458870498154,,18.258420996902828,,0.0014727013436823823,0.008355273673258426,,,0.00015838707458031993,0.06299262303234805,,0.00013748685543592308,,,0.0003577907554901967,0.9310893085670064,,0.02885928711454812,,,
$\hat{S}_{z}$,57.828170595563456,0.05476924867542652,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,0.2138635133094476,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,679.0243006769946,,4.6758794173228635,,3.737708308990777,,,0.041586275886576485,1.855199989749656,,0.13721470834740815,,,0.35576954581617043,5.637053457321821,,4.9239468538071725,,,
"$\hat{S}_{x,y,z}$",,119.6848887428502,,,0.2675436169255303,,,,0.2387204571948955,0.16229327855696854,,0.032151975251639466,,,3.4242184143658423,0.5366023302349715,,10.798699027059753,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,47.57253715056143,0.13990902309834596,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.021020531169803257,,0.032255592692472974,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,6313.646505876263,,,24.04639460209004,4.189000020151531,7.147501839799656,31.00237560456781,,4.852163301126105,,0.29093685494760996,,,1.0759427365311305,0.711130000063673,,1.1911572129241066,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,15.874874737101814,,,0.5390254449790838,6.1616846297733625,,,0.20609364069999805,,6.541760277170228,5.585532232127328,,,2.204034617591545,0.03691457253869728,,0.09336162255987494,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.15286405457103827,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,7273.422588867478,,,7.287848453302412,31.102288185202827,,,3.4371719601494752,0.17903396819520925,,,,,0.17400028677166698,1.535659525551674,,4.9007269671284615,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.8125324886734284,0.07231498352388901,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.23072001912519,,0.6256385067831086,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,2794.9296751111824,,,2.810808321735075,0.2920374459189391,,,0.9294174922580248,0.4537133818219009,,5.747116964883263,13.828392834655812,1.5983670908329688,,6.236731302973907,,14.443826060077177,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,1.0740108288205463,,,0.17739764356875598,1.8635774458193508,,,1.4062126473506422,27.0895727954511,,0.6511860105453763,,,0.1603404013129702,,4.359035208170065,0.41833882535256295,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.2294085622721553,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,34.65089057920266,,,0.2030891132033248,0.09260374768239817,,,0.8395197452947079,10.711039210556534,,0.2040513594630924,,,0.06923373321172886,2.3904068649550543,,,,,
$\hat{S}_{x}$,,0.15043652379193462,2.033161721036204e-05,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,6.647321905570469,,0.4030925776055116,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,49184.47901381639,2.480819681524016,,,,0.011432263632246076,,,0.16315175159926354,11.990070173958747,,0.16662520509515685,,,8.973555607015195,,2.4754256138427637,0.13435185688551854,218.87385774181928,,
"$\hat{S}_{x,z}$",,,0.004568841662121142,,2.596714851181031,1.6944910243480324,,,0.01936161463272207,0.013402294239535921,,0.008324488143027574,,,0.07277689057673377,,0.04345667181135642,0.14166491756889574,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,0.3851019681830613,,
"$\hat{S}_{x,y,z}$",,,87.47174069528799,,,,,,0.009422271137618787,0.01692435297969139,,0.06366601399177785,,,1.050776943965716,,0.007546003016115131,1.7941586947823258,0.5901477113959676,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,6.129263033940445,,,106.13152449067834,5.131749318011169,15.98995085173415,,3.717892701360672,,26.86936043613728,,,0.5807681811485202,,8.646910825873855,7.8308155364538665,51.64858504672185,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.2535318802836729,,0.0625392791555421,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,3.944277141324852,0.1948653252586302,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,0.08340234756689761,,,59.086453774626634,,,0.2689695696796254,,2.1257592238088883,15.330173153974409,,,0.03373707519947815,,81.11525617951979,2.3234127449385964,74.6140908509577,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.4704201627351862,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,6.001492987984122,,,15.70696730172467,,,0.03721711212206878,0.0652308352916905,,,,,0.6972619203901407,,1.9442656385910528,1.6274159931977086,120.12750607826622,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.5247092676693741,,0.02799466276211401,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,0.11143854719284704,,,0.9516767623639708,,,1.7218574165382337,29.64098085229001,,1.4341812893503023,21.103993458842748,35.72109471357265,,,41.00579939377804,5.178357697474795,13.740625521031705,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,1.9058173003914092,0.04738439679438925,,,,,,
