ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$"
$\hat{S}_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000008e+160,,9.706010090588353e+50,9.581933682381559e-64,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000008e+160,1.0302894708193962e-51,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.0436306836883188e+63,,,9891426825740040.0,6.532640478210629e+20,1.628470547295495e-86,,,,,9.260799380701003e-50,,,,,2.9341098879880237e-39,,,,
"$\hat{S}_{x,y}$",,,,1.0109764926913703e-16,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.5307745823996614e-21,,,4.43674748033146e-85,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,6.1407312625995224e+85,,2.253903347966272e+84,,254816542.41802013,8.192530883738067e+17,,5080668979.33395,45287415546494.79,,,,,2.0822813571381804e+33,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.924391997908539e-09,,2.246074882038285e+17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.2206240222847015e-18,4.452211313153158e-18,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,7.017145390931523e-14,,,,,,,,,,
