ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y}$"
$\hat{S}_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000008e+160,,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000008e+160,1.0000000000000008e+160,,,1.769759162410804e-160,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,5.618468283753841e-48,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,5.6504863556563165e+159,1.7798445225570888e+47,,2.5141329413496203e+48,,,,,,,1.5918413564324684e-52,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.9775144088569445e-49,,,6.049763674883686e-45,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.0367103049757419e-38,13082167296964.928,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,1.6529571297993326e+44,9.645896208424386e+37,,2.7309830677001062e+44,1.3323734630295842e-10,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,7.64399336363785e-14,3.6616850973087455e-45,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,7505403160.208363,,,90115.92403111844,2.246674611342811e-12,,,,,,,,,
