ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
$\hat{S}_{x}$,,9.999999999999997e-161,1.1196011999659727e-124,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,558.6440623846029,1.1991481746145735e-13,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,8.931751770455342e+123,0.0017900485610308735,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,8339252989493.287,,,5.315423876669832e+148,20086213.83442064,,,,,,9.999999999999997e-161,,,,,,,,,
"$\hat{S}_{x,y}$",,,,1.8813175076951914e-149,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,4.9785390529217375e-08,,,8.47334553990573e-108,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,1.1801713919141386e+107,,241969499262.4025,905319460.1530477,4.1286463409546295e-08,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,4.132752280962302e-12,,520671293819602.7,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.1045824639966823e-09,1.9205975283639713e-15,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,24221013.800101344,,,,877.8657717063603,5.276280046533681e-62,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.001139126313190501,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,1.0000000000000003e+160,,,,,,1.895274684399973e+61,,,,7.461917701582672e+20,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.7146118545670016e-05,0.00014757468365537963,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.3401380717290675e-21,36837.678960165984,,3.2622320080334828e+19,,1.5145881800454717e+44,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,6776.230009309908,3.06538590001394e-20,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,0.00020644908424619825,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,6.602454800419593e-45,,4843.809327860533,,39516450695911.49,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.530591645730631e-14,,,,
$\hat{S}_{x}$,,3.255253728537303e-82,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,3.0719571603081588e+81,,8.469587072165119e-85,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.180695105297932e+84,,9.029589985086472e-69,,,,,,,,,,,,,,,,,
