ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
$\hat{S}_{x}$,,9.99999999999999e-161,9.99999999999999e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000008e+160,,2.471679684412816e+43,2.4065240490559883e-119,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000008e+160,4.0458316921335415e-44,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.155370898505136e+118,,,2.3480892970391946e+105,1177.3213528447984,,,,,3.149174965131544e-08,,,,,144390638045.39786,,,,,
"$\hat{S}_{x,y}$",,,,4.258781815755228e-106,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,0.0008493857667523553,,,7.733955589997236e-68,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.2929994080821418e+67,,1.140887958613799e+28,1.5633586974559955e+45,,6.2051065281446625e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.765102589171152e-29,,0.005203099968414349,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.396484707107002e-46,192.19311680931457,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,9.056816719107164e-30,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,31754348.71267081,,,161157587781011.34,,,1.1041407052991369e+29,,881959124.0518527,,,,3.2856652584296976e+23,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.1338393954198806e-09,,,,55116.632666191435,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,9.973024731662815e-09,9.450661180843844e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,100270482.31667912,,0.7748616648939325,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,1.814334351767104e-05,10581.270250455753,1.2905529403585678,,3.826580452342713e-09,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,6.92565677066674e-12,,,,,,,3.0435236743438837e-24,,,,261329929.54264918,,1987487175700.012,1.7785309843116911e+21,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,5.031479006388009e-13,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.622617816731541e-22,,,,,
$\hat{S}_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,3.310693583072027e+66,,1.7244390868180107e-94,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000006e+160,3.020515112341172e-67,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,5.798987088869756e+93,,4.083698266579046e+22,,10650626763981.592,2.437861121759583e-69,,,,,,3.9662411511282085e-50,,,,,5.21315147795266e-40,,,
"$\hat{S}_{y,z}$",,,,,2.4487607426434802e-23,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,9.389118801738608e-14,,4.18835340903055e-65,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.1743414383990384e-27,,5.295282148967219e+20,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,5.50870876136254e-31,1.8884734974793325e-21,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,4.101956387401703e+68,2.3875731160696475e+64,,1.6196059287892128e+26,1.8153074401280512e+30,,7472825854109.673,,2.461323904695339e+18,,,,,1.5541326381288086e+23,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.08208161424607821,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,1.3381818598784169e-13,,,12.182996267617614,,2.757737505919905e+26,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.6261609303037255e-27,,1.4370090109992331e-16,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,6.943309855189035e-12,,907533946.9275645,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,2.521278868067684e+49,,4.062854133470009e-19,,,,,6958898603597787.0,,144023530687.26392,15190429353.123053,,,4.668476625412471e+23,3.84441740749103e+19,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,6.583092398204048e-11,1.1018871562716494e-09,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,2.601174362730364e-20,,,1534.7624751449844,,92632.91985037114,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.0006515666210209713,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,1.918225480746487e+39,,6.434457236571585e-24,,,,,,2.142026361568529e-24,,,,,,1.0795298276414997e-05,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,2.0200903679034008e-29,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,4.950273591165497e+28,,,,,,,,,,,,,,,,,,1.821037963950712e-93,
"$\hat{S}_{x,z}$",,,5.491373709917153e+92,5.979535752364933e+36,,1.5607671456491604e-06,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.6723706344668907e-37,
"$\hat{S}_{x,y,z}$",,,,,,,4.275501693100656e-16,,,,,,,,,,,,,640710.5651779184,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2338906803881500.5,,9.018993266444324e+47,1.694471295178658e+48,,2.5600911622807227e-14,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.108771201460541e-48,,9.576112766188322e-31,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,5.901545826390433e-49,1.0442650628873497e+30,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.0003018086214905872,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,39061109023521.04,,,3313.357965260075,,1648812022744547.2,,,,6.186087300722051e+29,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,6.064972757388313e-16,,3.610191624788712e+23,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,2.769936069691384e-24,,1.428273345142855e+19,4349286821.215756,6.643768471583243e-05,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.299227531102375e-10,2781016543282.1885,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.001460913631911e-20,,3.595807448235415e-13,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,1.6165306944234012e-30,,15051.698509320495,,,,,8.098805651536287e+19,23654093349663.066,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,4.2275980956769345e-14,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.2347499656450048e-20,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,2.233055049722817e+25,,3.9890266705937605e+41,,7.950319517022026e-16,,,,3.1759991310168135e-21,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,4.478169940880442e-26,
"$\hat{S}_{x,y,z}$",,,,,,,,5.553829907254455e-69,,,,,,,,,,,,2.506877197316787e-42,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.57007357172249e-56,5.1541032494162963e-42,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,1.8005592837724331e+68,59107834343.351585,,1.9402017220226434e+41,,,7.558053352903003,,,,,,,,1257811082760825.8,3.121462814627508e+26
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,1.6918231078998742e-11,3.8909391972378034e+55,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,,2.0649582111362668e-05
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,3.2036261822947024e-27,,48427.13012820432,,29.368251388707208,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,0.13230920096851473,,,,,,401030129.0356081,,,,,,3.1486154710623126e+20,0.03405037592345467
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,9.280079284945518e-31,8453.480978419811,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.00011829446384901283,1.153818970181651e-23,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,2.493578231652536e-09,1.0775770004704985e+30,,8.66687085100157e+22,,,,688081479748.3412,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.4533162560424382e-12,,,1521356.3163307451,381068535.0666641,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,6.573082119327781e-07,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,2.624199869519692e-09,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,7.597217998581246,3.5257743804695745e-138,,,,,,,,,,,,,,,,,
