ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
$\hat{S}_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,1.3596716767519902e+28,,2.5189753411466252e-85,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000006e+160,7.354716709175109e-29,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,4.3234137280619966e-27,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.969868158950714e+84,,2.3129870581418025e+26,,2.9982952999481074e+19,,1.7993306602354892e-67,,,,,,,,,,9.751133167363e-41,,,
"$\hat{S}_{x,y,z}$",,,,,3.3352285214111734e-20,,,6.194935015624909e-53,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,5.5378760513912025e-36,9.195137879261687e-27,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,5.557622187514571e+66,1.6142219369174864e+52,1.8057464463271687e+35,,3.9873832362061213e+30,,6817189964.588004,,,,,,,4.047762037587223e+19,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.0875312726472064e+26,2.507910428372745e-31,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,0.8518892596338744,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,1.4668800564374984e-10,,1.173861495131164,,1393685691393705.5,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,7.175218962031433e-16,,2467.53418939693,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,0.0004052628750989675,,103900367.93988241,30.43996186314093,1.006256900470732e-07,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,9.624604992531e-09,,0.19771482037652385,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.032851552327694516,5.057789790849374,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,9937820.049057003,,,,686.9998657284671,2.539837545558789e-09,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,0.001455604360183739,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,1.0255218371409342e+40,,,2.470500960071449e-20,,,,,,,,393725969.5009312,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.0296005270822314e-34,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,9.71250474039562e+33,,,,,,,,,,,,,,,,,4.75249932709025e-76,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.6806915612678054e-56,,
"$\hat{S}_{x,z}$",,,2.1041560054512547e+75,,5.949931701005652e+55,1.3484557750675351e+73,,,,,2.7280271877384925e-31,,,,4.427351257656493e-32,,,28246.771091923365,,,
"$\hat{S}_{x,y,z}$",,,,,,,,4.849665277819187e-79,,,,,,,,,,,7.415890224133725e-74,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,346.51531576167434,3.608427397892107e-17,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.5260608110523535e-36,0.002885875326468334,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.0619979786515967e+78,2.2094267879876104e+35,,2.7712903426688264e+16,,1.132716593781561e-10,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,8828333631.641361,,5.386558355117576e+18,,3.774994935600209e+24,,,214617958938.88034,,,4.6110524782554055e+24,3.6656526170070544e+30,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.8564729723013878e-19,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.649010176330221e-25,,,,4.360318403865408e-09,,,,,,
