ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
$\hat{S}_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,2.755609651454303e-09,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000006e+160,362896101.5839959,,1.4123736545075163e-85,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,7.080279335489958e+84,,2.1381967860632854e+57,78745692184.44518,,,,,1.4062433020191094e-41,,,,2.344933168174197e-16,,,7.246389590876627e-13,,,
"$\hat{S}_{y,z}$",,,,4.676838009101763e-58,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.2699107370314446e-11,,,,,4.5411576794250075e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,123831140473.60095,2.9715569208421626e-52,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.075513123560273e-12,,3.079303502974436e-34,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.2020816509648647e+32,3.365239255509841e+51,3.2474876186581006e+33,,,1.422321069320725e-14,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.850216763085713e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,7.111144981556049e+40,,,,,70307613489658.99,2.597256366414449e+17,,2.588933499440504e+16,,,7.168577759504021e+23,,,4.232943539608711e+44,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.8625943857426636e-17,,,,6.965304025968641e-19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,51350718235682.16,5.85646308306909e-11,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.9473924306381527e-14,,3.40899006798181e-12,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,4264513861512805.0,,,,,,,1.3949768469404002e-24,1.4356875109424008e+18,17075152456.624866,293342010407.2113,,,1888653074.9477718,675.8880860367293,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,2.34068274310195e-08,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,5.294778661388903e-10,42722577.544822104,,1.6586958639973536e-14,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1379997566317.747,,,,,,,2.3624222497719384e-45,,,,0.0014795348825628767,,60288327818582.87,,,,
$\hat{S}_{x}$,,9.999999999999992e-161,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,9.999999999999992e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000006e+160,1.0000000000000006e+160,,4.3665495502556907e-47,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,4.549707352451636e-33,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.290137758637007e+46,,2.197943565449642e+32,480.11835461950545,,,9.719170171002433e-42,,,,,,4.867432323046789e-32,,,7.657267684046158e-18,,,
"$\hat{S}_{x,y,z}$",,,,0.002082819768039282,,,,,3.770687835041277e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,492154.0612422458,,1.22108670807557e-14,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.0288944245297234e+41,,2.6520360309515066e+46,1.6487744277225036e+37,81894266261893.7,,,1019237224744.009,,,,5.529091888424785e-08,,,160841.4074281419,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,2.0318840760470423e-06,6.065111049674193e-38,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,9.81125861303937e-13,4.550458503654337e+27,,9987.432718054148,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,2.1975807475157276e-28,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,0.00010012583095476712,,,,2.085806793555801e-16,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,2.772172143647078e-06,1.659164072138897e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,360727.9592256479,,1.1975538650424595e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,2.054471297454108e+31,,,,,18086152.666290663,,,4794307905648534.0,602713.1474169752,8.350355079556648e+16,,9705777956661662.0,,2975093354.522957,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.003450187385046165,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,1.0303141123413395e-16,,289.83932998370165,1.0628490060247422,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.3059488596480573e+17,,,,,6.217304461519112e-06,,,,,,3.3612390632372126e-10,0.9408674179789568,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,5.198309033705545e-102,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.9237024838578398e+101,,,1.6348088193449626e-97,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,,,3.023060154036936e-31,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,6.116923203293468e+96,3.307906389704549e+30,,1.5348147124820257e-15,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,651544444985707.5,,,2.9384620339992e-13,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.0750885899792881e-11,1.263196720266388e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,791642334053.1759,1.1555004722676948e-19,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,3403140787356.084,93015590465.82993,,8.654258687038683e+18,,10895217448.04912,,393473237.68527716,,,,7.723095957750367e+23,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,0.11149037670481024,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,9.178339071874681e-11,,,,1.772997906078234e+26,,,,,,,8.96938399129882,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,5.6401645854841446e-27,,6.039827831464295e-12,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.0378038099441155e-13,,35.01959667531719,,,,,,
