ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,7.216665447057128e-75,1.3780489320865348e-112,,,,,,,,,,,,,,,
1,$R_{y}$,1.3856815274813498e+74,,2.7550701805070806e+28,,1.8325012247876612e-30,,,,,,,,,,,,,
2,$R_{z}$,7.256636369841219e+111,3.629671603559465e-29,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,6.148298088771976e-19,,,,,,,,,,,,,
4,"$R_{y,z}$",,5.45702227356423e+29,,1.6264663579441608e+18,,2.422866524758243e-70,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,4.127342508476736e+69,,,,1.8567032072753218e-135,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,6.674187813377628e+32,1.011622875857225e-11,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.498309648996717e-33,,1.4325282583556788e-15,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,5.385890410926159e+134,98851066327.71861,698066508752745.8,,9.366310942330156e+21,,3.0358856669485905e-122,1.5080592773427904e-120,,,,2.9207243612969337e-59,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,1.067656205476368e-22,,2855.904670450229,1.317002944521797e-98,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,0.00035015174363027724,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,3.2939316881623985e+121,7.59299745045824e+97,,,0.3818340682209619,,,,2501846481075.3823,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,6.631039077999679e+119,,,2.6189386522244904,,111.23022365983518,8645576365.875544,,2647989.5189671526,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.00899036221538316,,822.4062452710767,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.156660883763681e-10,0.0012159440735647453,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.0007385530720246458,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,3.423808193786403e+58,,,3.9970478107440253e-13,3.7764499928611864e-07,,,1353.9988362090648,,2.0437575216629304e+18
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.892948353219206e-19,
