ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.0976710454918251e-44,1.7932299696622787e-120,,,,,,,,,,,,,,,
1,$R_{y}$,9.110197486824822e+43,,2.1684517057603337e-98,,,,,,,,,,,,,,,
2,$R_{z}$,5.576529596972614e+119,4.611585295367994e+97,,,7.81870929997458e-26,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.5075505112215486e-105,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1.2789834762155068e+25,6.633276912159402e+104,,1.3920828824248588e+105,,,,,,,,1e-160,,,,
5,"$R_{x,y,z}$",,,,,7.183480327393348e-106,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,26483492.2720353,1.092388043739296e-25,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.7759370619558715e-08,,4.343951034445754e-66,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,9.154256179671763e+24,2.302051731408594e+65,,1.4830825178038955e-41,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,6.74271315314788e+40,,1.056805014096462e+46,3.6845488779552165e-90,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,9.462483491857496e-47,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.714036461785145e+89,,,,4.975933220639485e-06,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,2.4401836097784794e-16,25.60712376419461,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1e+160,,,,,,,200967.32726479083,4098052277675860.5,,15.895881826484958,7.294319857891074e+29,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.03905163302245834,0.06290937558014856,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.3709297364005626e-30,,,7887814213890.708,6513073228.932534
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.2677783386923162e-13,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.535373493971748e-10,,
