ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,2.2355307718327076e-27,1.8952760357728567e-60,,,,,,,,,,,,,,,
1,$R_{y}$,4.473210624518451e+26,,1.6635073072672655e-55,,,,,,,,,,,,,,,
2,$R_{z}$,5.276276284431674e+59,6.011395294937146e+54,,,4.577450277120868e-104,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,4.123252707370972e-60,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.1846223103683424e+103,2.425269734771144e+59,,7.64003491930912e-23,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,1.3088945411396483e+22,,1.915496280106454e-157,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,5.2205791803700336e+156,,8.366897085734536,4.244384636081424e+29,1.5158793027515035e-27,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,0.11951862079252637,,5.298014661192518e-13,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.356054141509752e-30,1887499495471.2192,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,6.59683127927718e+26,,,,3485635261476.2793,1.0345821542031755e-79,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.8689174999235797e-13,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,9.665737959400524e+78,,,,1871122.1530337203,,,,2.2449524776649004e+16
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.015604579222594155,3.0158307509026144e+16,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,5.344386513615173e-07,64.08375296349432,,4.22196042755636e+17,243092255082093.25,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.3158359423873765e-17,2.3685679133160253e-18,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,4.11366458245367e-15,,,21.041221124573898,5.62694172356283e-07
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.047525758798861104,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,4.4544372762854894e-17,,,,1777164.3090108752,,
