ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,8.256647051956035e+62,1.5418014978329755e-05,,,,,,,,,,,,,,,
1,$R_{y}$,1.2111453883245448e-63,,1.968188742198751e-45,,,,,,,,,,,,,,,
2,$R_{z}$,64859.192406124566,5.080813534594531e+44,,,6.21781610085168e-72,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,2.896375639351161e-38,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1.608281724290665e+71,3.4525908394396576e+37,,3.0859752526825575e+27,,,,,,,,,1e-160,,,1e-160
5,"$R_{x,y,z}$",,,,,3.2404666859551974e-28,,,,1.6360595629348158e-134,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,5.910203709686384e+69,1.378292584771807e-09,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.6919890567580173e-70,,2.0884685603308273e-61,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,6.11224690503424e+133,725535355.155061,4.788197529014243e+60,,1.2374766877170164e-11,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,80809603116.23082,,2.047643851807188,5.953068440137955e-92,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,0.48836617711494623,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.679805985863697e+91,,,,,5.487138041357657e-13,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,333921382679.53687,1.1816686128861284e-05,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.9947168760968397e-12,,6.490599050741489e-20,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,,,,,,1822443671842.7712,84626.09475236735,1.540689837998481e+19,,10077310727063.807,,122423670.09021154
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,9.923282382415598e-14,,3.1326156008796713,1.6431348509770387e-20
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.31922205830782097,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,,,,,,,,8.168355018789422e-09,6.08592775818358e+19,,
