ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.0965547515182316e-100,2.1248960386134394e-28,,,,,,,,,,,,,,,
1,$R_{y}$,9.119471678139674e+99,,4.900556512195096e+47,1.9329117338499574e+76,,,,,,,,1e-160,,1.7895320346833106e-146,,,,
2,$R_{z}$,4.706112590113025e+27,2.0405845693473536e-48,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,5.173541980668762e-77,,,104891.8235596694,2.79111712411423e+64,,,,,,,,,,,,
4,"$R_{y,z}$",,,,9.533631565010727e-06,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3.5827948292114513e-65,,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,3.913848075243347e+16,3.626525370909176e-08,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.5550301922177295e-17,,6.725027335983538e-22,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,27574603.724592127,1.4869828032509397e+21,,1.2692715411429063e-25,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,7.878534794056419e+24,,5.5115276378703884e+29,5.017233928877894e-81,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.8143789992612507e-30,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,1e+160,,,,,,,,1.993130107496603e+80,,,,47138.92012304771,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.05975104599058081,109814499638.65466,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,5.588053081022199e+145,,,,,,,,,,2.121389283822538e-05,16.736108689338103,,1.3997649744123476e+24,,1996353.0365521498,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9.10626559598693e-12,7.144056454333143e-25,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.0242479938197733e-20,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,5.009134064419159e-07,,9.763260519267954e+19,,437494712.71817344
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.2857419093980748e-09,
