ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.283723146893908e-142,4.5296793185969646e-147,,,,,,,,,,,,,,,
1,$R_{y}$,2.3344179016916434e+141,,5028803805.805331,,4.5923841126970414e-06,,,,,,,,,,,,,
2,$R_{z}$,2.2076618004599557e+146,1.988544470248738e-10,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,1.5983219703222663e-17,,,,,,,,,,,,,
4,"$R_{y,z}$",,217751.82028767935,,6.256561685117625e+16,,1.7543239266337388e-41,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,5.700201569494846e+40,,,,3.29338816466848e-95,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,1.558133837653738e-08,4.648334860870217e-20,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,64179339.1449489,,2.109337303372834e-28,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,3.0363866935820558e+94,2.151308005836717e+19,4.740825464002359e+27,,,2.4303799337154713e-18,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.1996460803024608e-06,,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,4.114583016949282e+17,833579.1834103896,,1.895816929381126e-72,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.274770915388132e+71,,,1.8861718182142965e-10,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,4.589136126140628e-08,3.3252464991880366e-13,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,5301743936.280069,21790593.53466989,,851794266347.5707,,7.242325207628445e+17,6.143569464713089e+26
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3007295850831.454,1.1739924058046603e-12,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.0003582221578828589,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.3807720191116047e-18,,2791.5637768197657,,7.68571835399983e-08
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,1.6277182275608908e-27,,,13011145.529156378,
