ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.7261359081674115e-44,1.532639893171852e-125,,,,,,,,,,,,,,,
1,$R_{y}$,2.683745372271781e+43,,1.2048701674499554e-76,,,,,,,,,,,,,,,
2,$R_{z}$,6.524689879567632e+124,8.299649431244924e+75,,298127514.05643314,,,,,,,,7.506034512544566e-152,,,,,4.586712814257461e-153,
3,"$R_{x,z}$",,,3.354269407722992e-09,,4.003698562159724e+22,3.5309733193279507e-72,,,,,,,,,,,,
4,"$R_{y,z}$",,,,2.4976905340759915e-23,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2.8320803063737956e+71,,,1.12020514375481e-112,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,8.926936334608364e+111,,1129967271331.6113,71613218.91488855,2.6448182721835304e-26,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,8.849813843028823e-13,,0.0005737288560514353,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.3963902407298407e-08,1742.9836227556752,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,3.780978113004384e+25,,,,34704709062353.75,5.585052562412407e-74,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.881453344568617e-14,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1.3322613935877004e+151,,,,,,,1.7904934444664565e+73,,,,,4038418.992881333,,180950.61057406207,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,311737.2853676303,1.8324515653148195e-06,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.207829306721218e-06,,4.8294565953053695e-17,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,2.4762165633698143e-07,545717.0158973329,2.070626332933777e+16,,,0.00014119165138401984,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.01361253151489266,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,2.180210622499785e+152,,,,,,,,,5.526369857650774e-06,,,7082.571739883911,73.4617215692731,,778515443918.7632
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.2844960338440612e-12,
