ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.930792619732813e+54,1.4433080197413475e-34,,,,,,,,,,,,,,,
1,$R_{y}$,2.5440161736845147e-55,,2.9496543066696626e-96,,,,,,,,,,,,,,,
2,$R_{z}$,6.928527981014116e+33,3.390227789537345e+95,,,2.5625551155488208e-58,,,,,,,1e-160,,,,,1e-160,
3,"$R_{x,z}$",,,,,1.0733421805648445e-10,,,,,,,,,,,,,
4,"$R_{y,z}$",,,3.902355090559021e+57,9316693391.04657,,5963414798497862.0,,,,,,1e-160,,,,,1e-160,
5,"$R_{x,y,z}$",,,,,1.6768915693268432e-16,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,4.64094409455455e-28,1.4429199768082793e-31,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.1547339929678307e+27,,5.933436515080784e-08,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,6.93039126266716e+30,16853639.496408854,,1.008414081288798e-07,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,9916561.247557705,,7628469.890507054,3.171382977609346e-100,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.3108788713243927e-07,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,1e+160,,,,,3.1531984848888253e+99,,,,5185975954.615845,,,2.151975792170972e+21,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.3861852958222876e-11,145937.452062117,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.9282773556054327e-10,22798854415.760105,,1134991432.4651892,,0.016026387384077464,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.8522506448472105e-06,8.810639194236125e-10,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.5294514609463295e-05,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,1e+160,,1e+160,,,,,,,4.646892421550768e-22,,62.39709399471524,,65382.918355660804,,6.45314808728055e+28
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.5496312597738858e-29,
