ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.6028220975461535e-15,1.5259687032331766e-42,,,,,,,,,,,,,,,
1,$R_{y}$,277560193904964.12,,8.968130664322202e-29,,,,,,,,,,,,,,,
2,$R_{z}$,6.553214347589371e+41,1.1150595786681466e+28,,1.2474399751252706e-81,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,8.01641778314486e+80,,3.63035113336654e+16,0.0016254196957619345,,,,,,,,1e-160,,,,1e-160
4,"$R_{y,z}$",,,,2.754554485953176e-17,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,615.2257183836069,,,9.921724999573883e-146,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.0078892531721529e+145,,3485083023.005255,18994810370.003963,1.8891526594841023e-56,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.8693721021821756e-10,,0.009367679362258286,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,5.2645958581359156e-11,106.75002434743111,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,5.293378462453554e+55,,,,121036.92974985437,1.4624746866185918e-78,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,8.261941227910262e-06,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,6.837725186971365e+77,,,,2.0245612146381183e-13,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.0583435159548e-11,6.509432350605214e-05,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1e+160,,,,,,,,4939341881933.394,94487279878.86197,,29136.502633261825,,2.1450163337014655e+24,5.213364420148535e+21
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,15362.322644109283,3.432120912337687e-05,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,9.639036267998302e-09,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,4.661969162138678e-25,,103744811.4309944,,4.9020514394162955
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1e+160,,,,,,,,,,1.918147129970839e-22,,,0.20399622736702117,
