ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.568718384311072,4.907658164508161e+65,,3.290223701317961e-71,,,,,,,,,,,,,
1,$R_{y}$,0.6374630462682862,,121907.61914726956,,,,,,,,,,,,,,,
2,$R_{z}$,2.0376317308159923e-66,8.202932737058524e-06,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,1.7936889594704464e-14,,,,,,,,,,,,,
4,"$R_{x,z}$",3.039307022192537e+70,,,55751026102944.38,,4.5036824647947465e-14,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,22204052079981.055,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,1.7826176278213971e-12,5.452631740388607e-82,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,560972798873.3832,,3.658761744095127e-21,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,1.8339767796765425e+81,2.733165125097034e+20,,514023.5219100599,,4.191385955633332e-106,1.5677644278057862e-96,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,1.945436263858316e-06,,318754208488.33887,1.7948248405437699e-90,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,3.137213481015368e-12,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,2.3858456619962995e+105,5.571574325308728e+89,,,7160576840.414166,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,6.378509310863631e+95,,,1.3965355337799296e-10,,27535.22953905748,39.585440575015035,,1.591118797077315e+18,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.631711145104293e-05,,2.7569643260529237e-18,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.02526181306748334,3.6271778729602746e+17,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,2.29499949416508e-05,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,6.284885841565533e-19,,,43572.99435326454,,2.8415000214642627e+26
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.519267965673591e-27,
