ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.2488525724078282e-12,1.6850469251597322e-33,,,,,,,,,,,,,,,
1,$R_{y}$,800735028372.4585,,7.149649035284242e-77,,,,,,,,,,,,,,,
2,$R_{z}$,5.9345528309557676e+32,1.3986700536836125e+76,,59.2268817125659,,,,,,,,1e-160,,1e-160,,,,
3,"$R_{x,z}$",,,0.016884225052622253,,1.0382965228225863e+76,2.5117092412549333e-38,,,,,,,,,,,,
4,"$R_{y,z}$",,,,9.6311600589928e-77,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3.981352552974511e+37,,,7.8902549936649e-147,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.267386162808302e+146,,15430348694472.062,4.135977527285088e+16,,9.77105001170406e-22,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,6.480734945142562e-14,,63779144.45045136,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.4178081080058807e-17,1.5679106526379928e-08,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,9.917170018112464e-20,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,1.0234314621275806e+21,,,1.008352179274557e+19,,1.8318393966662118e-98,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,,5.458993849678705e+97,,,4415.70057897241,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.0012122839827238066,121.5730002963919,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,1e+160,,,,,,,,,0.00022646463049646198,824.8892291335577,,21.5774918095422,,1775849.0387402282,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.00822551057851682,0.04634458948364752,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,4.972059739156665e-08,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,5.631109278913659e-07,,20112389.079412285,,1.8666518288060042e+17
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,5.357185440627381e-18,
