ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.4540318113525734e+30,8.081616487474395e+29,,3.099275604700754e-28,,,,,,,,,,,,,
1,$R_{y}$,6.877428624273201e-31,,1.2764846976004475e+29,,,,,,,,,,,,,,,
2,$R_{z}$,1.23737621248161e-30,7.834014789835029e-30,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,1.067904372305153e-34,,,,,,,,,,,,,
4,"$R_{x,z}$",3.226560421032816e+27,,,9.36413433574978e+33,,83473419.7585743,,,,,,1e-160,,,1e-160,,,
5,"$R_{x,y,z}$",,,,,1.1979861408484837e-08,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,6.679077531224781e-14,4.448073735023377e-08,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,14972127443123.484,,0.00873640847081407,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,22481641.707649086,114.46351247663432,,3.5748347240416238e-43,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,2.7973321207684354e+42,,1.2004787523568654e+54,4.352537360020684e-65,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,8.33000999007045e-55,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,2.2975104342246194e+64,,,,,7937056.523539093,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.1594314626057315e-07,1.6016689748465954e-17,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8624916.886010477,,6.025773202678292e-20,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1e+160,,,,,,,1.2599129123426036e-07,6.243487360400285e+16,1.6595380648503783e+19,,1.7519532691540186e+17,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,5.7079148034746324e-18,,3978022193825.8843,2742431115707058.5
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,2.513812018324223e-13,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.646399700880648e-16,,
