ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,7.264045799099431e+25,1.260539251954414e-58,,,,,,,,,,,,,,,
1,$R_{y}$,1.3766433027225356e-26,,6.347017737813005e-82,,,,,,,,,,,,,,,
2,$R_{z}$,7.933112740833269e+57,1.5755430996236203e+81,,3.412533120477089e-17,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,2.9303744892597412e+16,,3.410275222752673e+21,14375328383.240717,,,,,,1e-160,,1e-160,,,,1e-160
4,"$R_{y,z}$",,,,2.932314651111442e-22,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,6.956362827619552e-11,,,,,1.107120253751202e-145,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,2.8831648168825077e+41,1.1223527540301818e-11,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.4684108037960676e-42,,2.113522570748525e-07,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,9.032442470560433e+144,89098547351.46028,4731437.524444511,,,5.144126540451701e-62,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.3250194422934965e-19,,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,1.943964620886233e+61,7.547059070084923e+18,,1.1159600584022921e-113,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,,8.960894186765869e+112,,,763866395.2281725,,,,3.2322093772539584e+45
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.012933188026618e-13,46282.04552368371,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1e+160,,,,,,,,1.309129458039966e-09,1425936870049.3662,,447500446315.877,,26160388.49666138,1.5413062014873398e+22
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.1606650887724364e-05,2.23463464278677e-12,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,9.49683218863781e-07,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,3.8225732011878236e-08,,1052982.7000590987,,16912.408968196247
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1e+160,,,,,,,,3.09385897781655e-46,,6.488003480651757e-23,,,5.9128182264306526e-05,
