ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.144848722245384e-88,2.3227414781680804e-39,,,,,,,,,,,,,,,
1,$R_{y}$,3.179803190297853e+87,,1.1224743425009684e-52,,,,,,,,,,,,,,,
2,$R_{z}$,4.305257427049904e+38,8.908889603408794e+51,,,3.735067502935307e-26,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.8589931695807543e-47,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.6773277838061083e+25,5.379255913164667e+46,,3.777382710144322e-71,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,2.6473356732280726e+70,,3.353099398707465e-158,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.982315407606093e+157,,1.5109523996875783e+59,6.92688159046081e+45,2.3059311414530296e-31,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,6.618342180777974e-60,,1.0614654247465183e-21,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.4436510671369438e-46,9.420938041753018e+20,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,4.3366429379581253e+30,,,,701430568.9284225,3.4086060629385e-12,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.4256578545296408e-09,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,293375057585.24567,,,4.003188434454081e-14,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,24980088156563.91,,523625691271.1423,4449921146950952.0,2.512378476075861e+25,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.9097611455473506e-12,,15.183139726591682,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.2472308316860657e-16,0.06586253028078273,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,3.9802920201812985e-26,,,,417.8211087679315,15738555861069.486
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.0023933687863420647,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,6.353823113298318e-14,,
