ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.25912440793321e+78,1.579710669842706e-77,,,,,,,,,,,,,,,
1,$R_{y}$,7.94202696492438e-79,,4.741390816395083e-120,,,,,,,,,,,,,,,
2,$R_{z}$,6.330273125898246e+76,2.1090857909078837e+119,,,1.1973597460881089e-46,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,4.4246249115497754e-08,,,,,,,,,,,,,
4,"$R_{y,z}$",,,8.351708859990472e+45,22600785.829091635,,2.218353263169307e-50,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,4.5078483062311027e+49,,8.892535136100289e-150,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.1245387110593274e+149,,3.8279378638202074e+67,2.721252087663718e+60,9.583928372848311e-23,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.6123726026263644e-68,,1320.206017860568,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.674778990646662e-61,0.0007574575380443493,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.0434134742002496e+22,,,,6.185367690744215e+35,1.163497929274488e-44,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6167187627283665e-36,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,8.594772494554941e+43,,,,,6.474965943804141,,4.6674310789777736e+16,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3721.678034722267,1.1147852986645721e-17,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0002686959996727997,,5.952661394347939e-06,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,0.1544409667446814,8.970337168941176e+16,167992.08517882464,,,1.560537408423156e+17,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.551704219020713e-19,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,2.1425061946903192e-17,,,6.408048884970015e-18,6.444527170462321e+18,,9612716635391978.0
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.0402886488073649e-16,
