ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,5.617618487279281e+23,1.2572943965866667e-41,,,,,,,,,,,,,,,
1,$R_{y}$,1.7801137657611187e-24,,1.9513140358576697e-63,,,,,,,,,,,,,,,
2,$R_{z}$,7.953586707415735e+40,5.1247517397191555e+62,,,7.926913702316002e-13,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,7.588315292457853e-27,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1261525024181.644,1.3178155644032291e+26,,9.665547703648772e-20,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,1.0346025188231156e+19,,9.823992802337413e-143,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.0179160552337447e+142,,5.307661766547012e+58,1.4540369401932365e+25,9.189669638282074e-68,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.8840688121891512e-59,,1.0431266771830191e-42,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,6.877404365442762e-26,9.586563375989161e+41,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.0881783996175742e+67,,,,7.457414033316454e+30,6.198751458786403e-13,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.3409474055382184e-31,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1613228093832.594,,,,3.1270310998727147e-13,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,5.836575901094793e-08,0.0003089653963684225,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,3197921504652.4634,17133333.258159555,,132630961942.41443,,1651936933.4730895,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3236.608409077503,7.539717614610825e-12,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,8.732836479423347e-20,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,6.053499862719125e-10,,1.1451033147777808e+19,,2792010659575.4033
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.5816482167445436e-13,
