ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.891968192715469e-62,1.6919685310337762e-113,,,,,,,,,,,,,,,
1,$R_{y}$,1.0109211640373133e+61,,8.660955329184774e-45,,,,,,,,,,,,,,,
2,$R_{z}$,5.91027540795342e+112,1.15460704043849e+44,,2.080563837501349e-72,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,4.806389412213129e+71,,2.520327546183108e+69,1.0808359104358711e-13,,,,,,,,,,,,
4,"$R_{y,z}$",,,,3.9677382470165153e-70,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,9252098217172.742,,,9.5139726028001e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.0510856418754933e+159,,4.534675009433462e+59,5.262193998333109e+60,2.852480115197541e-22,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.205229697651331e-60,,0.0011396362565323887,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.900348030340134e-61,877.4729605766801,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,3.505721195643629e+21,,,,5.325786764470979e+28,2.8145799050720212e-21,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.877656850009713e-29,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.5529280877687905e+20,,,9.144646301140298,,,5559.434640903237,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,0.1093536006827628,,461.7884345268165,1030.877020089881,1.7976452772499112e-07,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.002165493817584834,,40555279.71146836,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0009700478141542152,2.4657701959264666e-08,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,0.0001798744053293755,5562832.738224242,,,,330490698235.0394,1050336.9133252588
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.02580376797418e-12,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.52075460086519e-07,,
