ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.3226319277735335e-27,0.04470757221830384,,,,,,,,,,,,,,,
1,$R_{y}$,3.0096622850129872e+26,,1.768580182626336e-10,,,,,,,,,,,,,,,
2,$R_{z}$,22.367575566775855,5654253111.187773,,1.9759616034703972e-80,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,5.060827084107768e+79,,1.1084105382784784e+58,1.4175838574951143e+61,,,,,,1e-160,,,,,,8.374414151964458e-138
4,"$R_{y,z}$",,,,9.021927936134064e-59,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,7.054256400513833e-62,,,,,1e-160,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,,,2.1183416712021782e+78,2.6376945557688065e-11,,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,4.7206737873994186e-79,,3.9562892380935015e-45,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,1e+160,37911895363.810646,2.527621060592351e+44,,3.646164374063758e-31,,,,,,,,
9,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,2.74260811474462e+30,,7.583903753650957e+42,1.075242289294312e-70,,,,,,
10,"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,1.3185821345881287e-43,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,9.300229445554137e+69,,,,1285098236.3049495,,,,499601010.04104024
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.006021434398484055,2.706979939635466,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,7.781506282938383e-10,166.07338614396565,,276108.51815025066,17194979.82925788,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.36941537148393666,3.621764394301763e-06,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,5.815650904681283e-08,,,200100.26873360065,6.431839086951297e-10
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,4.997494537757614e-06,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.1941133813705897e+137,,,,,,,,2.001597234396812e-09,,,,1554765264.6173425,,
