ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,4.0711646358100056e-06,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,245629.95836719297,,1.4355604569540864e-123,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,6.965920488794733e+122,,3.672569715127323e-26,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,2.722889087390221e+25,,1.3855766110645803e+34,6.605306833259239e+48,,,,,,1e-160,1e-160,,,,,
4,"$R_{y,z}$",,,,7.217211895859514e-35,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,1.51393421266181e-49,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,1.897163840820541e+79,3.856493440217474e+48,1.8695949779160206e-18,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,5.271026036251517e-80,,2.4841586317462347e-10,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.5930291740457576e-49,4025507820.718566,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,5.348752065619415e+17,,,,1.6531080795852e+23,2.9228980991003976e-49,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,6.049211254541332e-24,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,3.421261932832272e+48,,,551793.2303682484,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1e+160,,,,,,,,1.8122730489691461e-06,,3.007639213529724,36.44673750206851,,66389607.478400216,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.3324866877322077,,4130.370686559552,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.02743729805564204,0.0002421090202034538,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.02333577097640132,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.506259846957747e-08,,,42.85266602124551,,32274228541657.82
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.098447415123353e-14,
