ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.3514278380780536e+52,5.864274700130233e-45,,,,,,,,,,,,,,,
1,$R_{y}$,7.399581182389729e-53,,2.0937866976449744e-41,,,,,,,,,,,,,,,
2,$R_{z}$,1.7052407179660121e+44,4.776035692292671e+40,,,2.371016909998655e-42,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,3.0490951094048566e-28,,,,,,,,,,,,,
4,"$R_{y,z}$",,,4.217599612145184e+41,3.279661552424276e+27,,1.2433596849647597e-44,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,8.042724982098345e+43,,7.380759619285426e-102,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.3548740937004203e+101,,6.154468325748438e+52,8.90191931366905e+25,4.088138064246552e-51,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.624835724340804e-53,,4.708062457244873e-21,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.123353250870835e-26,2.1240160025090094e+20,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,2.446101340719521e+50,,,,1.3617848132571605e+43,8.305498975082996e-18,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,7.343304098157535e-44,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.2040215801603986e+17,,,,1.2316484317148848e-08,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.2530054509254596e-09,182127.098824282,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,81192000.43210794,798081125.0752406,,4.566254874315036e+20,4.437825255658987e-09,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.490671110754418e-06,2.189978499940842e-21,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,225335596.24161154,,,1.1682253670975671e+23,1.1962648886034345e+22
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,8.559992174151125e-24,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,8.359352594285689e-23,,
