ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.0882421337795234e+135,1.7188283129854174e+45,,49044161244154.555,,,,,,,3.0681142197627466e-159,1.902372097706784e-159,,,,,7.051767975771138e-148
1,$R_{y}$,9.189131434627937e-136,,3.3081177309901783e-62,,,,,,,,,,,,,,,
2,$R_{z}$,5.8179167310963654e-46,3.0228670238428375e+61,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,2.414005698800137e-34,,,,,,,,,,,,,
4,"$R_{x,z}$",2.0389786972229795e-14,,,4.142492291948782e+33,,1.2352555316807002e-08,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,80954909.68086503,,1.578562307429119e-109,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,6.334878232514127e+108,,1.0483942067266017e+46,2.0124193290554488e+20,1.047657803088808e-49,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,9.53839685095454e-47,,1.2228514894620344e-19,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,4.969143287196317e-21,8.177607899385454e+18,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,9.545101435332238e+48,,,,3.131023178188132e+26,1.7550932171832416e-14,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.193844130463072e-27,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",3.259331069093408e+158,,,,,,,,,56977030633444.375,,,7.055130175624673e-14,,,,,106351491860073.95
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",5.25659518033013e+158,,,,,,,,,,,14174082902892.125,,54979402.08321843,302.54857327478936,2727876.543908431,,1.641557452496637e+21
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.818862996156944e-08,,182515.63238492483,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.003305254389984352,5.47898274209742e-06,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,3.6658550484371475e-07,,,,1.6984770218133154e+19,42275.70293592963
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,5.887627487196662e-20,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",1.4180840938554082e+147,,,,,,,,,,,9.40278300294738e-15,6.091775822278439e-22,,,2.3654248907830972e-05,,
