ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.3313339251926474e+16,2.0619201388916787e-153,,,,,,,,,,,,,,,
1,$R_{y}$,7.511263561133225e-17,,6.785114729587104e-156,,,,,,,,,,,,,,,
2,$R_{z}$,4.849848358033493e+152,1.4738144303432483e+155,,,1.21065751772533e-56,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,9.910327098508127e-21,,,,,,,,,,,,,
4,"$R_{y,z}$",,,8.259974314444201e+55,1.0090484300468118e+20,,1.4748228092190903e+63,,,,,,1e-160,,,,,,
5,"$R_{x,y,z}$",,,,,6.780475551022254e-64,,8.195219166566502e-155,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.2202236202292605e+154,,68915.42200580944,7.350751695098502e+19,5.742212557099097e-24,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.4510540179463778e-05,,3461781927384.916,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.3604050870971498e-20,2.888685714398583e-13,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.7414889993295354e+23,,,,186045.94416059644,2.624796909910321e-56,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.375016394535274e-06,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,,,3.8098185662454396e+55,,,11686857.347002733,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,8.556620229958268e-08,,56545850886.382355,3185392513.1551805,4980451.523652827,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.7684763502972148e-11,,26058.714563147947,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.1393305404911766e-10,3.837487829941516e-05,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,2.0078500819672008e-07,,,,49829275.9167156,18909005235682.043
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.0068523605909805e-08,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.288485499559545e-14,,
