ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.4584794637941097e+48,2.9798003622265634e-62,,,,,,,,,,,,,,,
1,$R_{y}$,6.856455814596014e-49,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,3.3559295202339695e+61,1e+160,,841354.5330115658,,,,,,,,1e-160,,,,,,5.643427825869383e-125
3,"$R_{x,z}$",,,1.1885595914252398e-06,,1.3753973335139809e+38,0.0003501037516216394,,,,,,,,,,,,
4,"$R_{y,z}$",,,,7.270626281098829e-39,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2856.296156119772,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,7.225923383889447e+75,6.221644702797284e+67,1.1324785892356335e-36,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.383906176239772e-76,,1.0325941389269784e-27,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.6072920389529714e-68,9.684347046935124e+26,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,8.830189016420612e+35,,,,8.08723171813571e+30,2.052741257740979e-45,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.2365170615273562e-31,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,4.871534569829273e+44,,,1.123264546237383e+28,,,,,1.5375304394147218e+44
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,8.902622301662737e-29,,437.34555461446524,4.890707090202926e+17,,5.1707286868795444e+20,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.002286521469005289,,6.452154331440575e+18,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.0446941138699595e-18,1.549869932786821e-19,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,8.718760901155358e-16,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.93396339385868e-21,,,1146951970970423.0,,83.00991988360703
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.771972692582363e+124,,,,,,,,,6.503936275763498e-45,,,,,0.012046752983283894,
