ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.4781611217416852e-07,4.084781164464059e-129,,,,,,,,,,,,,,,
1,$R_{y}$,6765162.3716210425,,3.1548581213566096e-112,,,,,,,,,,,,,,,
2,$R_{z}$,2.448111562743177e+128,3.169714648118608e+111,,0.0012192471255519006,,,,,,,,2.758421686969945e-138,1.9339795131064617e-135,,,,5.615865495719694e-117,
3,"$R_{x,z}$",,,820.1782715274749,,4850.177036797904,5621229.85857326,,,,,,1e-160,1e-160,,,,1e-160,
4,"$R_{y,z}$",,,,0.00020617804101027244,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,1.7789701278179234e-07,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,6.481768936645754e+47,2.6214282862174746e+53,2.576329640848135e-32,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.5427887198297588e-48,,0.3087306152804247,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.8147143114982e-54,3.239069760191048,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,3.8814908781269042e+31,,,,1.187430270309148e+26,3.8371632664130867e-31,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,8.421547142634739e-27,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,3.6252615208317704e+137,1e+160,,,,,,2.606091871964527e+30,,,79878134.92555456,,,,0.014715574676108806,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,5.170685590116445e+134,1e+160,,,,,,,,1.251907046818241e-08,,17830728.328950264,8.285138783417882,,0.0033120456703006687,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,5.6082958674009044e-08,,2.2462903616978866e-16,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.12069803851704079,4451784226346132.5,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,3.831053924135021e-06,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,1.780669428002115e+116,1e+160,,,,,,,,67.95521221631468,301.9282037585006,,,261024.7779860684,,1.25124568627433e+25
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,7.992035544814293e-26,
