ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,6.8316650006435504e+19,66.40573394516055,,7.081818668819346e-14,,,,,,,,,,,,,
1,$R_{y}$,1.4637720085891198e-20,,4.3062475080208894e-36,,,,,,,,,,,,,,,
2,$R_{z}$,0.015058940555130736,2.322207439626689e+35,,,,,,,,,,,,,,,,
3,"$R_{x,y}$",,,,,4.777945904061238e-39,,,,,,,,,,,,,
4,"$R_{x,z}$",14120666551417.31,,,2.0929496065453637e+38,,3.485454940954108e-89,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,2.869065923790884e+88,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,3.743554794155066e+66,3.424171882423518e+72,,3.8393029278474944e-29,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.671257815062124e-67,,6.573104037806749,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.920414144900438e-73,0.1521351243260818,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.0014805823603030925,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,2.6046394848052536e+28,,,675.4099108645927,,1.188120522568542e-44,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.416654548127381e+43,,2411507682.79914,,,,6340476.54249707,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,4.1467833883873733e-10,,6275474.126675046,163074.53546715566,,5511469.906359603,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.5935050958927833e-07,,2.1310141311524278e-08,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.132165252749758e-06,46926014.49147648,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.7994044633588861e-13,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,1.577168519270588e-07,1.814398004507137e-07,,,5557394239943.89,,298385.6470668219
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.351367633899814e-06,
