ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,8.14807671211216e-41,1.7475768514722628e-140,,,,,,,,,,,,,,,
1,$R_{y}$,1.2272834870509928e+40,,3.532571597134191e-114,,,,,,,,,,,,,,,
2,$R_{z}$,5.722209007046188e+139,2.830798959067816e+113,,269.2148554031528,,,,,,,,,,,2.2025795466324275e-129,,,1.4828840107726725e-110
3,"$R_{x,z}$",,,0.003714505273130217,,77318858766.05986,1.6770036103678167e-52,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.2933455252174044e-11,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,5.963016381226933e+51,,,5.722316028027257e-157,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.7475441676099556e+156,,8.266618967235937e+71,1.134188759622936e+53,5.335510169879738e-13,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.2096843993456302e-72,,9.614905059619933e-17,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,8.816874541522106e-54,1.0400518713385288e+16,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1874235018134.245,,,,2.2006464262485602e+21,1.7205845937808844e-68,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,4.544119346353603e-22,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,5.811978112639951e+67,,,,,3.97039585498431e-06,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,5.845068855121902e-07,3.957500127898904e-11,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1710843.8322736311,,0.04496829672205591,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,4.540131145451351e+128,,,,,,,,,251864.0550021307,25268476757.596848,22.23788919960411,,,90675727502.91942,4.7108375845499015e-08
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.0975881665320511e-16,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,1.1028309642928465e-11,9110885398478816.0,,8.873150638481215e-06
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,6.7436157699140565e+109,,,,,,,,,,,,21227647.5690797,,112699.54052883817,
