ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.027853516209681e-36,1.5476203596161049e-66,,,,,,,,,,,,,,,
1,$R_{y}$,3.302669678854931e+35,,1.6846348903322783e-68,,,,,,,,,,,,,,,
2,$R_{z}$,6.461532983761309e+65,5.936004327933392e+67,,,1.647221253116861e-114,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.9612607226303702e-43,,,,,,,,,,,,,
4,"$R_{y,z}$",,,6.070829878547322e+113,5.098761161437206e+42,,4.5331585896662936e-06,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,220596.73850360804,,8.93626245608449e-123,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.119036067835187e+122,,5.953188436705832e+82,4.7823321091988735e+39,6.002189571232342e-38,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.67977212653686e-83,,246020.2958432921,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.091030018756932e-40,4.0647052982855185e-06,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.6660586743092232e+37,,,,1.1704575424062304e+28,1.3593203800564525e-44,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,8.543667444307264e-29,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,7.35661742935444e+43,,,2407046868.747591,,,2.3563494631153097e-08,,10431563652057.127
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,4.1544683362161095e-10,,303117590502547.1,27311681175.528404,19285.78087362236,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.2990497131561125e-15,,4.829155717332712e-06,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.6614370004290036e-11,207075.53422036476,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,42438526.86765351,5.185167282325212e-05,,,,162786.4198005013,2.3679354471618197e+23
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.143018571361937e-06,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,9.586290544302032e-14,,,,4.223088096419979e-24,,
