ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.745666832982359e+41,4.061746569252968e-95,,,,,,,,,,,,,,,
1,$R_{y}$,1.0260970512717405e-42,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,2.461995062838002e+94,1e+160,,9.371234271934796e-57,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,1.0670952950080703e+56,,4.327778430483363e+30,2.8184533521381665e+61,,,,,,1e-160,,,,,,8.522787520897994e-142
4,"$R_{y,z}$",,,,2.3106543370066005e-31,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,3.54804523992341e-62,,,5.522470110227419e-159,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.8107839065494177e+158,,1.242264698141248e+70,3.171160625379096e+65,2.6283925603726082e-21,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,8.049814194158949e-71,,949521348.9106425,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.153419577667893e-66,1.0531622076188916e-09,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,3.804606720764105e+20,,,,15505026036900.004,1.2134880375369157e-42,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,6.449521578487687e-14,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,8.240707522999203e+41,,,,28451818066.100643,,,,1880248428.4600255
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,5.5738025876716896e-06,4.1812803657218665e+22,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,3.514713884633845e-11,179410.7315913612,,6.085063720559517e+21,,18147962784896.35,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.3916119287240323e-23,1.643368164940187e-22,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.00016730189791364157,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,5.510260362844971e-14,,5977.218504216749,,0.004639070884475514
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.1733250389593617e+141,,,,,,,,5.318446141816628e-10,,,,,215.56040528427027,
