ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,7266983.368381591,4.480863396853497e-75,,,,,,,,,,,,,,,
1,$R_{y}$,1.3760868152677596e-07,,1.1463186427707958e-44,,,,,,,,,,,,,,,
2,$R_{z}$,2.2317127558546172e+74,8.72357791881387e+43,,,6.247056519181898e-55,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,1.0312945383541271e-20,,,,,,,,,,,,,
4,"$R_{y,z}$",,,1.6007538861373356e+54,9.696550915472985e+19,,1885014114568835.0,,,,,,,,,1e-160,,3.68430645671398e-139,3.025629640605909e-125
5,"$R_{x,y,z}$",,,,,5.305000064833642e-16,,3.6313657803441725e-156,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,2.753784830525176e+155,,1.5564780148183156e+51,9.752016679567132e+40,1.5556111337912377e-42,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,6.424761483808866e-52,,4.860353816178397e-13,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.0254289270190087e-41,2057463381927.7808,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,6.428341751211711e+41,,,,6651583485.707756,2.0880269582766277e-34,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.5034014113311483e-10,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,4.7892101969093313e+33,,,,,4.381608470851314e-08,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.009051661425363e+16,1.9286531216613242e-12,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.4943554846695683e-17,,1.4567988088560377e-17,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1e+160,,,,,,,22822669.041574758,518496555325.93085,6.864365854233898e+16,,,24404807.82460683,32.82616679423559
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,3.2417209555345355e-07,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,2.714215040873382e+138,,,,,,,,,,4.0975532656795686e-08,3084781.243409359,,9.02443748379326e-06
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,3.305097182349593e+124,,,,,,,,,,0.030463502067369138,,110810.230753537,
