ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.08644400471461e-11,3.8351010227225066e-150,,,,,,,,,,,,,,,
1,$R_{y}$,11005405409.213308,,1.0883468800229033e-155,,,,,,,,,,,,,,,
2,$R_{z}$,2.607493242225229e+149,9.188247041044082e+154,,2.1695668503095606e-17,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,4.609214967758734e+16,,3.446927605466645e+17,1.9331092275023765e-28,,,,,,,,,,,,
4,"$R_{y,z}$",,,,2.9011343273181973e-18,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,5.173013432314034e+27,,,1.4094912439919576e-90,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,7.094758511360471e+89,,8481.349022267734,7555809218179646.0,2.1041935597647185e-45,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,0.00011790577151989686,,0.5838559978481899,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.3234849784109837e-16,1.7127510956220628,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,4.7524145074933865e+44,,,,1.5294998959288435e+18,3.5742105083119044e-28,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,6.538084786156289e-19,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.7978206590643676e+27,,,13471796211.653648,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,7.422915135362273e-11,,14095080919481.123,2608532052.9093413,,57039268097.844055,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.094673707178778e-14,,33808.14670250295,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.833573748440938e-10,2.957866956741424e-05,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,6.031019702008847e-10,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.7531781759271863e-11,,,1658094400.9632635,,2.238029601619202e+20
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,4.4682161454723636e-21,
