ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.3095233879503385e+122,4.176640006404066e-97,,,,,,,,,,,,,,,
1,$R_{y}$,3.021583118707985e-123,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,2.394269073864863e+96,1e+160,,1.9160911017475923e-14,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,52189585301447.24,,5.983002711995745e+64,5.811769469437939e+74,,,,,,1e-160,,,,1e-160,,4.941665498832208e-116
4,"$R_{y,z}$",,,,1.6714015489162814e-65,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,1.7206463629685415e-75,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,5.585389297875771e+28,4.042906055959297e+54,6.014312480536096e-38,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.7903854980714036e-29,,26943431683.41904,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.473468307595193e-55,3.7114797095998684e-11,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.6627004387222382e+37,,,,1.5205234527868028e+41,1.0321138490338782e-29,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,6.576682511323375e-42,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,,,9.688853617612643e+28,,,,19249962348.817574,,7031.670258286688,,3470388388845511.5
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.003551476323471796,0.8284787104815734,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,5.194815355373539e-11,281.57304425513837,,2.828568414073781e+21,3.7606671440610473,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.2070316199419604,3.535357303095147e-22,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1e+160,,,,,,,,0.00014221372209846149,,0.2659102658365361,,,71727590499.29147,54528679131.871475
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.3941636586968274e-11,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.0236092471987744e+115,,,,,,,,2.8815218585164423e-16,,,,1.8338973470852146e-11,,
