ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.1756067725763825e+43,1.3697897578067736e-118,,,,,,,,,,,,,,,
1,$R_{y}$,8.506245653965278e-44,,2.1901213982641746e-159,,,,,,,,,,,,,,,
2,$R_{z}$,7.300390401525128e+117,4.565956940983137e+158,,7309914460788.708,,,,,,,,3.297273301149972e-86,,,,,3.036009601217022e-88,
3,"$R_{x,z}$",,,1.368005064032041e-13,,578299766.1417962,5.675424068462284e-52,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.729206993583333e-09,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,1.761982872005797e+51,,,2.7470859971906215e-132,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,3.640220950573356e+131,,7.69941053868099e+80,7.032790168080129e+49,1.6175928659973562e-14,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.2988007263362698e-81,,19012944513294.09,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.4219107581777724e-50,5.2595745982469334e-14,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,61820252859697.914,,,,3.5956821221511412e+50,1.599295629327342e-20,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.7811134745185516e-51,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,3.032808956574014e+85,,,,,,,6.252752659748069e+19,,,,23.349229732408585,,,7.715864375326277e-05,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.9815736491579975e-18,0.12938958404465792,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,0.04282796526739408,2.0073978032403946e+17,,32882933.305108853,,2.0922050491973937e-12,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.728597378092327,3.041091227237429e-08,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,5.986038604890493e-25,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,3.2937972251442735e+87,,,,,,,,,12960.31074882279,,477964624157.4732,,1.6705538771217025e+24,,28060905130112.52
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.563676921194132e-14,
