ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.3511176915202957e+22,4.842203127959419e-92,,,,,,,,,,,,,,,
1,$R_{y}$,7.401279742512931e-23,,1.0881603950464071e-107,,,,,,,,,,,,,,,
2,$R_{z}$,2.06517565160761e+91,9.189821689451881e+106,,,2.2762096959311553e-10,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,3.747419812993679e-23,,,,,,,,,,,,,
4,"$R_{y,z}$",,,4393268343.367277,2.6685027296184786e+22,,3.4777058738732156e-34,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,2.875458811835265e+33,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,5.944748322253124e+56,5.8319297814117175e+53,3.9053372889265386e-35,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.682156999408495e-57,,5453738.377123504,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.7146982859555847e-54,1.8336046411662226e-07,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,2.5605982941229393e+34,,,,5.7206206621323264e+20,1.425008561523896e-54,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.748062070641223e-21,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,7.017501697888788e+53,,,,,0.00022465865321941327,,,7.824211519333127e+20
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.9271999291082756e+16,2.507361247912826e-10,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.416234026435748e-17,,0.0005566251714443489,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,4451.197341699312,3988256581.824492,1796.5411039625963,,,642984625627.3965,1.4755638027544486e+21
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.010544633694806791,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.55524713988961e-12,94.83496809305929,,0.00018863166867028999
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,1.2780840568139855e-21,,,6.777070555222965e-22,,5301.336764124712,
