ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.8252193564718017e-70,6.978453207746574e-118,,,,,,,,,,,,,,,
1,$R_{y}$,5.478793529414607e+69,,5.215952849835998e-27,,,,,,,,,,,,,,,
2,$R_{z}$,1.4329823103061428e+117,1.917195244645362e+26,,,4.339398617486539e-64,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,7.129127234696025e-07,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.3044667894078345e+63,1402696.2446864487,,2.293058785796754e-22,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,4.360987194022314e+21,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,8.799594714771924e+70,4.967422514325524e+42,8.118285987156538e-42,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.1364159741599178e-71,,0.000619367164467991,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.0131164544914496e-43,1614.5512022080727,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.23178710577829e+41,,,,1.0881836652518652e+29,1.2124213307678303e-33,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,9.18962517020089e-30,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,8.247957823100133e+32,,,,1.4578370770765756e-13,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.004719152878682879,0.592888870671417,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,6859477068626.326,211.90243793905256,,5972269.696131145,,101721892363776.12,109683899544757.66
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.6866567234894287,1.674405294603161e-07,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.9880338484674174,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,9.83072548850956e-15,,1.0121110744850936,,0.3016702993017678
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,9.117108382820941e-15,,,3.3148772097039516,
