ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.654475084184319e+57,9.633073799452368e-103,,,,,,,,,,,,,,,
1,$R_{y}$,6.04421311362942e-58,,1e-160,,,,,,,,,,,,,,,
2,$R_{z}$,1.0380902511686864e+102,1e+160,,8.529320260430449e-33,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,1.1724263709961021e+32,,7.921994903848678e+46,4.0467347041610394e-67,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.262308310138117e-47,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,2.4711281393656813e+66,,,2.894308000720744e-135,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,3.4550573047200877e+134,,1.908991573444884e+63,3.970223286218998e+23,,129759115.87555434,2.6221611019247722e-83,,,,,8.701728626370212e-47,
7,"$R_{x,y,z}HF_{y}$",,,,,,,5.2383678058643453e-64,,1.5018259220987077e-34,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,2.518750024642417e-24,6.658561323822156e+33,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.013052100898650963,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,7.706587650913493e-09,,,76.61601820005528,,6.31850088518686e-48,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,3.8136482127889074e+82,,,,1.5826538892230077e+47,,,,1.5939562513090408e+19,,1950652099118.8545,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,7.3152976165414005e-06,1.4169352876807403e-13,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,136699.83812262036,,0.0019271440103557375,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,6.273697908451047e-20,7057485325507.096,518.902580516236,,,8.327099925389955e-06,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,1.409420044976562e-10,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,1.1491969503272526e+46,,,,,5.1264907794256e-13,,,120089.82826673241,7095116913.96889,,3.170463483830716e+21
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.154112971494467e-22,
